plant_id,raw_plant_id,canonical_key,canonical_scientific_name,family_name,source_name,source_url,retrieved_at
ba321e5b-4b13-5b40-b65d-1b0a56d04401,258,gbif:10045372,Abelmoschus moschatus subsp. moschatus,Malvaceae,KNApSAcK World,https://www.gbif.org/species/10045372,2026-06-02T16:45:51+00:00
33b527b3-6d04-503c-9f82-5ead3fd9421a,267,gbif:10334868,Selenicereus undatus (Haw.) D.R.Hunt,Cactaceae,KNApSAcK World,https://www.gbif.org/species/10334868,2026-06-02T16:45:52+00:00
a561d36a-7306-5e13-ba1f-4fb504a27db3,179,gbif:10722283,Grona styracifolia (Osbeck) H.Ohashi & K.Ohashi,Fabaceae,KNApSAcK World,https://www.gbif.org/species/10722283,2026-06-02T16:45:51+00:00
48be323a-ce4b-5e52-8b16-e44e37d5ea1f,203,gbif:10769463,"Equisetum debile Roxb. ex Wall., 1829",Equisetaceae,KNApSAcK World,https://www.gbif.org/species/10769463,2026-06-02T16:45:51+00:00
dbd102ec-bc98-5c24-ab80-073046e3ef96,12,gbif:10974033,Ouret lanata (L.) Kuntze,Amaranthaceae,KNApSAcK World,https://www.gbif.org/species/10974033,2026-06-02T16:45:52+00:00
da452b1d-917d-58e3-907f-b4c98c1dae7a,34,gbif:11037528,Meistera aculeata (Roxb.) Škorničk. & M.F.Newman,Zingiberaceae,KNApSAcK World,https://www.gbif.org/species/11037528,2026-06-02T16:45:51+00:00
f1eae43b-78d9-5406-80e6-bec031f01e77,84,gbif:11131378,Caesalpinia major Brenan,Fabaceae,KNApSAcK World,https://www.gbif.org/species/11131378,2026-06-02T16:45:51+00:00
bdde9185-f5f6-5777-863d-aaf59a3898a1,177,gbif:11440699,"Desmodium gangeticum Puri, 1951",Fabaceae,KNApSAcK World,https://www.gbif.org/species/11440699,2026-06-02T16:45:51+00:00
b22d8f89-38be-5419-b05c-3f000999a611,419,gbif:2546050,Fabisporus sanguineus (L.) Zmitr.,Polyporaceae,KNApSAcK World,https://www.gbif.org/species/2546050,2026-06-02T16:45:51+00:00
dce3b814-68cd-5df4-a8e0-83ff4a2abee4,234,gbif:2549730,Ganoderma lucidum (Curtis) P.Karst.,Polyporaceae,KNApSAcK World,https://www.gbif.org/species/2549730,2026-06-02T16:45:51+00:00
7cdfdfc7-d2a7-5273-9acc-c946f0675d70,245,gbif:2653133,Gnetum gnemon L.,Gnetaceae,KNApSAcK World,https://www.gbif.org/species/2653133,2026-06-02T16:45:51+00:00
