input_name,raw_plant_id,canonical_lookup_key,source_row_count,query_status,http_status,error_message,matched_name,accepted_name,authorship,rank,taxonomic_status,match_type,confidence,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_genus_key,gbif_family_key,gbif_kingdom_key,family_name,cache_key,cache_path
Brucea javanica,81,brucea javanica,1,ok,200,,Brucea javanica (L.) Merr.,Brucea javanica (L.) Merr.,(L.) Merr.,SPECIES,ACCEPTED,EXACT,100,5555210,5555210,5555210,3233020,2395,6,Simaroubaceae,438d671ff491b423ef621d3c7132060729aa70121586090eae3101159329db9e,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\438d671ff491b423ef621d3c7132060729aa70121586090eae3101159329db9e.json
Bryophyllum pinnatum,82,bryophyllum pinnatum,1,ok,200,,Bryophyllum pinnatum (Lam.) Oken,Kalanchoe pinnata (Lam.) Pers.,(Lam.) Oken,SPECIES,SYNONYM,EXACT,99,5362077,2985930,2985930,2985928,2406,6,Crassulaceae,c1dd4c0b02b0357be477111134ad39fcfb5472d90148396323203c1e168b654e,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\c1dd4c0b02b0357be477111134ad39fcfb5472d90148396323203c1e168b654e.json
Caesalpinia crista,83,caesalpinia crista,1,ok,200,,Fabaceae,Fabaceae,,FAMILY,ACCEPTED,HIGHERRANK,99,5386,5386,,,5386,6,Fabaceae,1049b13e60e7680df2a285a39d0d9d8a4e9f30e4e9f44c8cf6e52157bd093b8d,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\1049b13e60e7680df2a285a39d0d9d8a4e9f30e4e9f44c8cf6e52157bd093b8d.json
Caesalpinia major,84,caesalpinia major,1,ok,200,,Caesalpinia major Brenan,Caesalpinia major Brenan,Brenan,SPECIES,ACCEPTED,EXACT,99,11131378,11131378,11131378,2958443,5386,6,Fabaceae,99a3d730efe8ea0657fefed2858da571b640196f9b1e7168e9769d1d7e2d594c,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\99a3d730efe8ea0657fefed2858da571b640196f9b1e7168e9769d1d7e2d594c.json
Caesalpinia pulcherrima,85,caesalpinia pulcherrima,1,ok,200,,Caesalpinia pulcherrima (L.) Sw.,Caesalpinia pulcherrima (L.) Sw.,(L.) Sw.,SPECIES,ACCEPTED,EXACT,99,2958715,2958715,2958715,2958443,5386,6,Fabaceae,8dd6d152f81d44e6b944fa9509cc23a792ab1498911ebfdb434f05b56c54cbd4,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\8dd6d152f81d44e6b944fa9509cc23a792ab1498911ebfdb434f05b56c54cbd4.json
Caesalpinia sappan,86,caesalpinia sappan,1,ok,200,,Caesalpinia sappan L.,Biancaea sappan (L.) Tod.,L.,SPECIES,SYNONYM,EXACT,100,2958870,2958871,2958871,7302381,5386,6,Fabaceae,4774757fa255569d8612583cb1e76880b6ef8e49c0a7a75454620e381dbae413,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\4774757fa255569d8612583cb1e76880b6ef8e49c0a7a75454620e381dbae413.json
Cajanus cajan,87,cajanus cajan,1,ok,200,,Cajanus cajan (L.) Huth,Cajanus cajan (L.) Huth,(L.) Huth,SPECIES,ACCEPTED,EXACT,99,7587087,7587087,7587087,2960263,5386,6,Fabaceae,2228f2c5479cba1732c89346e666115fc2c27b02c41f8dc26bd743e33713c14f,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\2228f2c5479cba1732c89346e666115fc2c27b02c41f8dc26bd743e33713c14f.json
Callicarpa candicans,88,callicarpa candicans,1,ok,200,,Callicarpa candicans (Burm.f.) Hochr.,Callicarpa candicans (Burm.f.) Hochr.,(Burm.f.) Hochr.,SPECIES,ACCEPTED,EXACT,99,6412107,6412107,6412107,2925549,2497,6,Lamiaceae,f7857906a6246e7174904b052b4772d015698e399f2d3027dc29660e00eaf664,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\f7857906a6246e7174904b052b4772d015698e399f2d3027dc29660e00eaf664.json
Calophyllum inophyllum,89,calophyllum inophyllum,1,ok,200,,Calophyllum inophyllum L.,Calophyllum inophyllum L.,L.,SPECIES,ACCEPTED,EXACT,99,9531830,9531830,9531830,3189443,4907584,6,Calophyllaceae,eb775ead7828dc929a2a09e63bb8ff8cd206c9923304c2d72f4c8812db5b546f,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\eb775ead7828dc929a2a09e63bb8ff8cd206c9923304c2d72f4c8812db5b546f.json
Calotropis gigantea,90,calotropis gigantea,1,ok,200,,Calotropis gigantea (L.) W.T.Aiton,Calotropis gigantea (L.) W.T.Aiton,(L.) W.T.Aiton,SPECIES,ACCEPTED,EXACT,99,3579089,3579089,3579089,3170557,6701,6,Apocynaceae,f33245f0f6a5679d9c6f5e4c8cb3d2afb6accb225568d7f7fef91d0fb254a2a4,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\f33245f0f6a5679d9c6f5e4c8cb3d2afb6accb225568d7f7fef91d0fb254a2a4.json
Camellia sinensis,91,camellia sinensis,1,ok,200,,Camellia sinensis (L.) Kuntze,Camellia sinensis (L.) Kuntze,(L.) Kuntze,SPECIES,ACCEPTED,EXACT,100,3189635,3189635,3189635,3189634,3189597,6,Theaceae,639e668bb2a793f6f1617ba49441bc4d2368a12b71749e8f234420ddf7bc3629,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\639e668bb2a793f6f1617ba49441bc4d2368a12b71749e8f234420ddf7bc3629.json
Cananga odorata,92,cananga odorata,1,ok,200,,Cananga odorata (Lam.) Hook.f. & Thomson,Cananga odorata (Lam.) Hook.f. & Thomson,(Lam.) Hook.f. & Thomson,SPECIES,ACCEPTED,EXACT,100,5407583,5407583,5407583,5407582,9291,6,Annonaceae,248006825c042490234bebfad41549b23e48b72799e6b8f190bdef4c36f133f0,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\248006825c042490234bebfad41549b23e48b72799e6b8f190bdef4c36f133f0.json
Canarium commune,93,canarium commune,1,ok,200,,Canarium L.,Canarium L.,L.,GENUS,ACCEPTED,HIGHERRANK,99,3190431,3190431,,3190431,6659,6,Burseraceae,5a0b8e9e15109210078dc74305ef4d7defd0c6d1fc30d3c10adddc5446d2d1b2,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\5a0b8e9e15109210078dc74305ef4d7defd0c6d1fc30d3c10adddc5446d2d1b2.json
Canna edulis,95,canna edulis,1,ok,200,,Canna edulis Ker Gawl.,Canna indica L.,Ker Gawl.,SPECIES,SYNONYM,EXACT,99,5303275,8034409,8034409,2762470,8497,6,Cannaceae,8fdff74ad956006018a532dbe496be6fd6b9a1b085fb84c777d029fc74d9616b,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\8fdff74ad956006018a532dbe496be6fd6b9a1b085fb84c777d029fc74d9616b.json
Cannabis sativa,94,cannabis sativa,1,ok,200,,Cannabis sativa L.,Cannabis sativa L.,L.,SPECIES,ACCEPTED,EXACT,100,5361880,5361880,5361880,2984538,2384,6,Cannabaceae,09655ead1f2fbdbd6f18410a6055ab635d8f58708944e6cc444b074ee15d1411,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\09655ead1f2fbdbd6f18410a6055ab635d8f58708944e6cc444b074ee15d1411.json
Capsicum annuum,96,capsicum annuum,1,ok,200,,Capsicum annuum L.,Capsicum annuum L.,L.,SPECIES,ACCEPTED,EXACT,100,2932944,2932944,2932944,2932937,7717,6,Solanaceae,35d5162638b18206bfa402c906952d45642ed3bfc989f3617f828cfdfc47e2d1,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\35d5162638b18206bfa402c906952d45642ed3bfc989f3617f828cfdfc47e2d1.json
