input_name,raw_plant_id,canonical_lookup_key,source_row_count,query_status,http_status,error_message,matched_name,accepted_name,authorship,rank,taxonomic_status,match_type,confidence,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_genus_key,gbif_family_key,gbif_kingdom_key,family_name,cache_key,cache_path
Cinnamomum verum,121,cinnamomum verum,1,ok,200,,Cinnamomum verum J.Presl,Cinnamomum verum J.Presl,J.Presl,SPECIES,ACCEPTED,EXACT,100,3033987,3033987,3033987,3033980,6688,6,Lauraceae,1439329ef2ed6eb8075fa976572b734764acbd0d375ce686c5f47b38ff064820,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\1439329ef2ed6eb8075fa976572b734764acbd0d375ce686c5f47b38ff064820.json
Cinnamomum zeylanicum,122,cinnamomum zeylanicum,1,ok,200,,Cinnamomum zeylanicum Blume,Cinnamomum verum J.Presl,Blume,SPECIES,SYNONYM,EXACT,99,3033988,3033987,3033987,3033980,6688,6,Lauraceae,cec30b3e9f201d6a0b845074f7b92547f1197df105fe936bb14742d03ac2e210,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\cec30b3e9f201d6a0b845074f7b92547f1197df105fe936bb14742d03ac2e210.json
Cissampelos pareira,123,cissampelos pareira,1,ok,200,,Cissampelos pareira L.,Cissampelos pareira L.,L.,SPECIES,ACCEPTED,EXACT,100,3033937,3033937,3033937,3033936,2411,6,Menispermaceae,d3b947ce0b773a099d41637b91ddb82a271424ac9318aef79143327ff24920a7,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\d3b947ce0b773a099d41637b91ddb82a271424ac9318aef79143327ff24920a7.json
Citrullus vulgaris,124,citrullus vulgaris,1,ok,200,,Citrullus vulgaris Schrad.,Citrullus lanatus (Thunb.) Matsum. & Nakai,Schrad.,SPECIES,SYNONYM,EXACT,99,3625068,2874621,2874621,8257011,6634,6,Cucurbitaceae,4c05cf00356fa21ffa4f76493593a74e75722951da87fa0f03fc5be85d83ba9c,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\4c05cf00356fa21ffa4f76493593a74e75722951da87fa0f03fc5be85d83ba9c.json
Citrus aurantifolia,125,citrus aurantifolia,1,ok,200,,Citrus × aurantiifolia (Christm.) Swingle,Citrus × aurantiifolia (Christm.) Swingle,(Christm.) Swingle,SPECIES,ACCEPTED,VARIANT,98,3190164,3190164,3190164,3190155,2396,6,Rutaceae,e36db6004b0f7f414bdb528d270f16b6dd8256709f5bcd93f1b6b4858737289c,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\e36db6004b0f7f414bdb528d270f16b6dd8256709f5bcd93f1b6b4858737289c.json
Citrus aurantium,126,citrus aurantium,1,ok,200,,Citrus × aurantium L.,Citrus × aurantium L.,L.,SPECIES,ACCEPTED,EXACT,99,8077391,8077391,8077391,3190155,2396,6,Rutaceae,2c35b4e2fbd4cbb9906d7fd8966c44dd8498815c6a0439f281f099eeee70b843,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\2c35b4e2fbd4cbb9906d7fd8966c44dd8498815c6a0439f281f099eeee70b843.json
Citrus hystrix,127,citrus hystrix,1,ok,200,,Citrus hystrix DC.,Citrus hystrix DC.,DC.,SPECIES,ACCEPTED,EXACT,100,6433679,6433679,6433679,3190155,2396,6,Rutaceae,3ce6ff43e302eb1c0068819074fffda1c5df288dfc834a8a0a4f5dbd1908a3e5,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\3ce6ff43e302eb1c0068819074fffda1c5df288dfc834a8a0a4f5dbd1908a3e5.json
Citrus maxima,128,citrus maxima,1,ok,200,,Citrus maxima (Burm.) Merr.,Citrus maxima (Burm.) Merr.,(Burm.) Merr.,SPECIES,ACCEPTED,EXACT,99,3190160,3190160,3190160,3190155,2396,6,Rutaceae,306a61ada5947003d01c8f6b46fc6f7552a22f80d3409872e60e3d2a957bfe7f,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\306a61ada5947003d01c8f6b46fc6f7552a22f80d3409872e60e3d2a957bfe7f.json
Citrus medica,129,citrus medica,1,ok,200,,Citrus medica L.,Citrus medica L.,L.,SPECIES,ACCEPTED,EXACT,99,3190157,3190157,3190157,3190155,2396,6,Rutaceae,8c289874ee2dae5519e9cee9bd06795737cd294ab8fcb0a8db93d88db0efff80,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\8c289874ee2dae5519e9cee9bd06795737cd294ab8fcb0a8db93d88db0efff80.json
Citrus nobilis,130,citrus nobilis,1,ok,200,,Citrus L.,Citrus L.,L.,GENUS,ACCEPTED,HIGHERRANK,99,3190155,3190155,,3190155,2396,6,Rutaceae,61bb2384f69dcb18b51aeedfdf2fcbe29da2e8cad4242179aa83ff38dff7320a,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\61bb2384f69dcb18b51aeedfdf2fcbe29da2e8cad4242179aa83ff38dff7320a.json
Clausena excavata,131,clausena excavata,1,ok,200,,Clausena excavata Burm.fil.,Clausena excavata Burm.fil.,Burm.fil.,SPECIES,ACCEPTED,EXACT,100,5834596,5834596,5834596,3190412,2396,6,Rutaceae,22a672a89b6e045cda813c4b07e8fdfb4556c5692abaec6b0af780d278cd7cdb,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\22a672a89b6e045cda813c4b07e8fdfb4556c5692abaec6b0af780d278cd7cdb.json
Cleome spinosa,132,cleome spinosa,1,ok,200,,Tarenaya Raf.,Tarenaya Raf.,Raf.,GENUS,ACCEPTED,HIGHERRANK,99,6370691,6370691,,6370691,3845332,6,Cleomaceae,a76907da3598a440cfbeb07b278650bf577506280de7d08f457985cef47fc4fb,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\a76907da3598a440cfbeb07b278650bf577506280de7d08f457985cef47fc4fb.json
Clerodendron serratum,133,clerodendron serratum,1,ok,200,,Clerodendron,Clerodendrum L.,L.,GENUS,SYNONYM,HIGHERRANK,96,7449216,2925347,,2925347,2497,6,Lamiaceae,95eeacfb68229c5429f0bfab65654229c3b52637f2f119944b9ab0abfa737826,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\95eeacfb68229c5429f0bfab65654229c3b52637f2f119944b9ab0abfa737826.json
Clerodendrum serratum,134,clerodendrum serratum,1,ok,200,,"Clerodendrum serratum Spreng., 1825","Clerodendrum serratum Spreng., 1825","Spreng., 1825",SPECIES,ACCEPTED,EXACT,99,8355397,8355397,8355397,2925347,2497,6,Lamiaceae,2291fbed11327ec298c1ca6717acddcf2b7b7568db31e55fab58ca81fb915641,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\2291fbed11327ec298c1ca6717acddcf2b7b7568db31e55fab58ca81fb915641.json
Clinacanthus nutans,135,clinacanthus nutans,1,ok,200,,Clinacanthus nutans (Burm.fil.) Lindau,Clinacanthus nutans (Burm.fil.) Lindau,(Burm.fil.) Lindau,SPECIES,ACCEPTED,EXACT,100,3774284,3774284,3774284,7263674,2393,6,Acanthaceae,013a4bf5e45785efe042edf8b547d544ba2fec6ab29c89af905186436ca43a88,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\013a4bf5e45785efe042edf8b547d544ba2fec6ab29c89af905186436ca43a88.json
Clitoria ternatea,136,clitoria ternatea,1,ok,200,,Clitoria ternatea L.,Clitoria ternatea L.,L.,SPECIES,ACCEPTED,EXACT,100,2946519,2946519,2946519,2946499,5386,6,Fabaceae,b4e7a99a9c08ac998762ac1500eb8bdec5136f5d558bcd61130e7442ee1e7f72,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\b4e7a99a9c08ac998762ac1500eb8bdec5136f5d558bcd61130e7442ee1e7f72.json
Cocos nucifera,137,cocos nucifera,1,ok,200,,Cocos nucifera L.,Cocos nucifera L.,L.,SPECIES,ACCEPTED,EXACT,100,2735117,2735117,2735117,2735116,7681,6,Arecaceae,b2ac978b65b8dd4bdff7cc4f3294a6725e1bdc6fd32a8fec4148b1fd4da6d6f0,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\b2ac978b65b8dd4bdff7cc4f3294a6725e1bdc6fd32a8fec4148b1fd4da6d6f0.json
Coffea arabica,138,coffea arabica,1,ok,200,,Coffea arabica L.,Coffea arabica L.,L.,SPECIES,ACCEPTED,EXACT,99,2895345,2895345,2895345,2895315,8798,6,Rubiaceae,fa7904e78f15a77d8824fc8bd7551be8fa2c0b4b30b3a4dc4c4c966f1d73360d,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\fa7904e78f15a77d8824fc8bd7551be8fa2c0b4b30b3a4dc4c4c966f1d73360d.json
Coffea canephora,139,coffea canephora,1,ok,200,,Coffea canephora Pierre ex A.Froehner,Coffea canephora Pierre ex A.Froehner,Pierre ex A.Froehner,SPECIES,ACCEPTED,EXACT,99,2895528,2895528,2895528,2895315,8798,6,Rubiaceae,59c3cbce013c77abdda4aeb8c2a50712fa66f575881294da32a3704cc49c854c,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\59c3cbce013c77abdda4aeb8c2a50712fa66f575881294da32a3704cc49c854c.json
Coffea robusta,140,coffea robusta,1,ok,200,,Coffea robusta L.Linden,Coffea canephora Pierre ex A.Froehner,L.Linden,SPECIES,SYNONYM,EXACT,100,2895553,2895528,2895528,2895315,8798,6,Rubiaceae,54d591fc8bb22f4c32cc4828cc3aa90d9a4713d0f91f629b1ae32e4dcaf49806,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\54d591fc8bb22f4c32cc4828cc3aa90d9a4713d0f91f629b1ae32e4dcaf49806.json
Coix lacryma-jobi,141,coix lacryma jobi,1,ok,200,,Coix lacryma-jobi L.,Coix lacryma-jobi L.,L.,SPECIES,ACCEPTED,EXACT,100,2706301,2706301,2706301,2706300,3073,6,Poaceae,008131adbfa00a01d15c6bad8669b60a40ef69cbf55d676268ce84eaf4646c30,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\008131adbfa00a01d15c6bad8669b60a40ef69cbf55d676268ce84eaf4646c30.json
Cola acuminata,142,cola acuminata,1,ok,200,,Cola acuminata (P.Beauv.) Schott & Endl.,Cola acuminata (P.Beauv.) Schott & Endl.,(P.Beauv.) Schott & Endl.,SPECIES,ACCEPTED,EXACT,100,5406685,5406685,5406685,3152143,6685,6,Malvaceae,f9c7cdd3f44f1ce8e8889e6d599e78dcd7a4db3a7bbe9270ec1676b24f9d351e,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\f9c7cdd3f44f1ce8e8889e6d599e78dcd7a4db3a7bbe9270ec1676b24f9d351e.json
Coleus amboinicus,143,coleus amboinicus,1,ok,200,,Coleus amboinicus Lour.,Coleus amboinicus Lour.,Lour.,SPECIES,ACCEPTED,EXACT,100,5341313,5341313,5341313,2927310,2497,6,Lamiaceae,66ef276b4c676146bf5e82ed71ea91b1c991e39d4c818ce94a2ff5df27625258,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\66ef276b4c676146bf5e82ed71ea91b1c991e39d4c818ce94a2ff5df27625258.json
Coleus carnosus,144,coleus carnosus,1,ok,200,,Coleus Lour.,Coleus Lour.,Lour.,GENUS,ACCEPTED,HIGHERRANK,99,2927310,2927310,,2927310,2497,6,Lamiaceae,c11913e2fc5b2a9ea2e4135e4751570ce65fecc4779db4ee9bb7757c96960dcf,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\c11913e2fc5b2a9ea2e4135e4751570ce65fecc4779db4ee9bb7757c96960dcf.json
Colocasia esculenta,145,colocasia esculenta,1,ok,200,,Colocasia esculenta (L.) Schott,Colocasia esculenta (L.) Schott,(L.) Schott,SPECIES,ACCEPTED,EXACT,100,5330776,5330776,5330776,5330758,6979,6,Araceae,b01750596c5b2bf1c3030113c1b5b88374876cff6c75b99f4e45a1409364369c,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\b01750596c5b2bf1c3030113c1b5b88374876cff6c75b99f4e45a1409364369c.json
Coriandrum sativum,146,coriandrum sativum,1,ok,200,,Coriandrum sativum L.,Coriandrum sativum L.,L.,SPECIES,ACCEPTED,EXACT,100,3034871,3034871,3034871,3034870,6720,6,Apiaceae,bfd2591f3164b8f029a81aa9e39ee1118a152719269d228c6c7c6dd2dc4f62c4,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\bfd2591f3164b8f029a81aa9e39ee1118a152719269d228c6c7c6dd2dc4f62c4.json
Costus speciosus,147,costus speciosus,1,ok,200,,Costus speciosus (J.Koenig) Sm.,Hellenia speciosa (J.Koenig) S.R.Dutta,(J.Koenig) Sm.,SPECIES,SYNONYM,EXACT,100,2756724,7584507,7584507,8189889,4492,6,Costaceae,2e82afd940a2d7de8f2c80b532fb6d2d913d214c0de5a214b18e8006f2797361,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\2e82afd940a2d7de8f2c80b532fb6d2d913d214c0de5a214b18e8006f2797361.json
Crinum asiaticum,148,crinum asiaticum,1,ok,200,,Crinum asiaticum L.,Crinum asiaticum L.,L.,SPECIES,ACCEPTED,EXACT,99,2853796,2853796,2853796,2773870,7682,6,Amaryllidaceae,9416661e7ee6b10ba06951d7d0ba9f2f6fd62aa27bb6bac84f48f3a4ffcd78fe,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\9416661e7ee6b10ba06951d7d0ba9f2f6fd62aa27bb6bac84f48f3a4ffcd78fe.json
Crocus sativus,149,crocus sativus,1,ok,200,,Crocus sativus L.,Crocus sativus L.,L.,SPECIES,ACCEPTED,EXACT,99,2747430,2747430,2747430,2747303,7698,6,Iridaceae,e4016627eea9f4a987585bc07b5315ee348b7d016b39dbd6ac26543da05a61e3,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\e4016627eea9f4a987585bc07b5315ee348b7d016b39dbd6ac26543da05a61e3.json
Croton tiglium,150,croton tiglium,1,ok,200,,Croton tiglium L.,Croton tiglium L.,L.,SPECIES,ACCEPTED,EXACT,100,3057656,3057656,3057656,3057454,4691,6,Euphorbiaceae,09c87118afb33a2b18489cb05f80e782624ff41eb1528b79526b9f605ac692bf,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\09c87118afb33a2b18489cb05f80e782624ff41eb1528b79526b9f605ac692bf.json
Cucumis sativus,151,cucumis sativus,1,ok,200,,Cucumis sativus L.,Cucumis sativus L.,L.,SPECIES,ACCEPTED,EXACT,100,2874569,2874569,2874569,2874568,6634,6,Cucurbitaceae,8ead8d4a5e8e9f7ae63f481cfc2a4af46fabae1914cf636d1b5a5e326312a9f5,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\8ead8d4a5e8e9f7ae63f481cfc2a4af46fabae1914cf636d1b5a5e326312a9f5.json
Cucurbita moschata,152,cucurbita moschata,1,ok,200,,Cucurbita moschata (Duchesne) Duchesne ex Poir.,Cucurbita moschata (Duchesne) Duchesne ex Poir.,(Duchesne) Duchesne ex Poir.,SPECIES,ACCEPTED,EXACT,99,7393329,7393329,7393329,2874506,6634,6,Cucurbitaceae,f1f2c2583f5da2ba9233d069123feb0b52f8b5080aed9fee0bdda799e9526408,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\f1f2c2583f5da2ba9233d069123feb0b52f8b5080aed9fee0bdda799e9526408.json
Cuminum cyminum,153,cuminum cyminum,1,ok,200,,Cuminum cyminum L.,Cuminum cyminum L.,L.,SPECIES,ACCEPTED,EXACT,99,3034775,3034775,3034775,3034774,6720,6,Apiaceae,cebb407d4d266bc519bfbde5d6b46f9e2ddfc3307c9a20e0e8c1c97e80febddb,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\cebb407d4d266bc519bfbde5d6b46f9e2ddfc3307c9a20e0e8c1c97e80febddb.json
Curcuma aeruginosa,154,curcuma aeruginosa,1,ok,200,,Curcuma aeruginosa Roxb.,Curcuma aeruginosa Roxb.,Roxb.,SPECIES,ACCEPTED,EXACT,100,2757635,2757635,2757635,2757518,4687,6,Zingiberaceae,59352b692d8b782f315a27f6f26d4ff144d97b364b8762f4aee422e597cadb38,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\59352b692d8b782f315a27f6f26d4ff144d97b364b8762f4aee422e597cadb38.json
Curcuma domestica,155,curcuma domestica,1,ok,200,,Curcuma domestica Valeton,Curcuma longa L.,Valeton,SPECIES,SYNONYM,EXACT,99,2757628,2757624,2757624,2757518,4687,6,Zingiberaceae,1f542eec83be9910637d7493df6a00c354bc764a77c5615bde1f9b1017f2e9c8,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\1f542eec83be9910637d7493df6a00c354bc764a77c5615bde1f9b1017f2e9c8.json
Curcuma heyneana,156,curcuma heyneana,1,ok,200,,Curcuma heyneana Valeton & Zijp,Curcuma heyneana Valeton & Zijp,Valeton & Zijp,SPECIES,ACCEPTED,EXACT,100,2757572,2757572,2757572,2757518,4687,6,Zingiberaceae,88047e603f09b2f347b938fd0551cd2359747ef120d0b856ccc4c526406b681c,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\88047e603f09b2f347b938fd0551cd2359747ef120d0b856ccc4c526406b681c.json
Curcuma longa,157,curcuma longa,1,ok,200,,Curcuma longa L.,Curcuma longa L.,L.,SPECIES,ACCEPTED,EXACT,100,2757624,2757624,2757624,2757518,4687,6,Zingiberaceae,a09aad43227c71ebbd01bec8881c059daf1cb72a6dc878e2226b59ee8568f37d,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\a09aad43227c71ebbd01bec8881c059daf1cb72a6dc878e2226b59ee8568f37d.json
Curcuma mangga,158,curcuma mangga,1,ok,200,,Curcuma mangga Valeton & Zijp,Curcuma mangga Valeton & Zijp,Valeton & Zijp,SPECIES,ACCEPTED,EXACT,100,2757639,2757639,2757639,2757518,4687,6,Zingiberaceae,5071f3103a54abf10a6143de2b436d448f3a2525dd607327eb28af68aab3ca01,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\5071f3103a54abf10a6143de2b436d448f3a2525dd607327eb28af68aab3ca01.json
Curcuma soloensis,159,curcuma soloensis,1,ok,200,,Curcuma soloensis Valeton,Curcuma longa L.,Valeton,SPECIES,SYNONYM,EXACT,100,2757626,2757624,2757624,2757518,4687,6,Zingiberaceae,025bb02bc0eb7b36970f98992d1e76c8df563f180b2a9e881b6b2f4f01566874,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\025bb02bc0eb7b36970f98992d1e76c8df563f180b2a9e881b6b2f4f01566874.json
Curcuma xanthorrhiza,160,curcuma xanthorrhiza,1,ok,200,,Curcuma xanthorrhiza D.Dietr.,Curcuma xanthorrhiza D.Dietr.,D.Dietr.,SPECIES,ACCEPTED,EXACT,100,3990387,3990387,3990387,2757518,4687,6,Zingiberaceae,809b2bfc52f140695acb683f064ed45f44deb4da7b6a7cae431eb71b30c4a501,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\809b2bfc52f140695acb683f064ed45f44deb4da7b6a7cae431eb71b30c4a501.json
Curcuma zanthorrhiza,161,curcuma zanthorrhiza,1,ok,200,,Curcuma zanthorrhiza Roxb.,Curcuma zanthorrhiza Roxb.,Roxb.,SPECIES,ACCEPTED,EXACT,100,2757547,2757547,2757547,2757518,4687,6,Zingiberaceae,d11e69cac34d27dee24a1bafe069f20f31c665171df38f55f79dd6d89813c5b5,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\d11e69cac34d27dee24a1bafe069f20f31c665171df38f55f79dd6d89813c5b5.json
Curcuma zedoaria,162,curcuma zedoaria,1,ok,200,,Curcuma zedoaria (Christm.) Roscoe,Curcuma zedoaria (Christm.) Roscoe,(Christm.) Roscoe,SPECIES,ACCEPTED,EXACT,99,2757545,2757545,2757545,2757518,4687,6,Zingiberaceae,ece039d622fffec78840a37001784dfdbc484e8a444f36f2cd54730f485be60d,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\ece039d622fffec78840a37001784dfdbc484e8a444f36f2cd54730f485be60d.json
Cycas revoluta,163,cycas revoluta,1,ok,200,,Cycas revoluta Thunb.,Cycas revoluta Thunb.,Thunb.,SPECIES,ACCEPTED,EXACT,99,2683217,2683217,2683217,2683206,6168,6,Cycadaceae,8c5ed1f6766e6ed5a26cfe831d825585d77a7e156564fec8641caeddd9192982,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\8c5ed1f6766e6ed5a26cfe831d825585d77a7e156564fec8641caeddd9192982.json
Cyclea barbata,164,cyclea barbata,1,ok,200,,Cyclea barbata Miers,Cyclea barbata Miers,Miers,SPECIES,ACCEPTED,EXACT,100,3830078,3830078,3830078,7268667,2411,6,Menispermaceae,80544b8a56a97e381ea23d36ebbd84296c8848b3913ec80d8a2b7c5c24e7bc35,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\80544b8a56a97e381ea23d36ebbd84296c8848b3913ec80d8a2b7c5c24e7bc35.json
Cymbopogon citratus,165,cymbopogon citratus,1,ok,200,,Cymbopogon citratus (DC.) Stapf,Cymbopogon citratus (DC.) Stapf,(DC.) Stapf,SPECIES,ACCEPTED,EXACT,100,2705275,2705275,2705275,2705264,3073,6,Poaceae,1957df74bdea4089aed7c39d44e25013f5207086ffd7924965c0ea526801bc96,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\1957df74bdea4089aed7c39d44e25013f5207086ffd7924965c0ea526801bc96.json
Cymbopogon nardus,166,cymbopogon nardus,1,ok,200,,Cymbopogon nardus (L.) Rendle,Cymbopogon nardus (L.) Rendle,(L.) Rendle,SPECIES,ACCEPTED,EXACT,100,2705267,2705267,2705267,2705264,3073,6,Poaceae,5adbafd1681956230ab8197e26d6b43f0bdc7d505a562ce1e56598266314b30e,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\5adbafd1681956230ab8197e26d6b43f0bdc7d505a562ce1e56598266314b30e.json
Cyperus iria,167,cyperus iria,1,ok,200,,Cyperus iria L.,Cyperus iria L.,L.,SPECIES,ACCEPTED,EXACT,100,2715729,2715729,2715729,2713455,7708,6,Cyperaceae,a33fa936e76aff895279ead6413199ba29483732eedbbb2171addab1e26d8b13,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\a33fa936e76aff895279ead6413199ba29483732eedbbb2171addab1e26d8b13.json
Cyperus rotundus,168,cyperus rotundus,1,ok,200,,Cyperus rotundus L.,Cyperus rotundus L.,L.,SPECIES,ACCEPTED,EXACT,99,2714818,2714818,2714818,2713455,7708,6,Cyperaceae,a7dd0ef7d34703b3f3a766d5c0c118498cdcb590a1dbddb3cb1043f98de80758,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\a7dd0ef7d34703b3f3a766d5c0c118498cdcb590a1dbddb3cb1043f98de80758.json
Datura metel,169,datura metel,1,ok,200,,Datura metel L.,Datura metel L.,L.,SPECIES,ACCEPTED,EXACT,99,2928747,2928747,2928747,2928734,7717,6,Solanaceae,70e2cef732bd0fdeb2f32fdb730f7dca705e61d151980a9af923e6f2aece3385,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\70e2cef732bd0fdeb2f32fdb730f7dca705e61d151980a9af923e6f2aece3385.json
Datura stramonium,170,datura stramonium,1,ok,200,,Datura stramonium L.,Datura stramonium L.,L.,SPECIES,ACCEPTED,EXACT,99,2928751,2928751,2928751,2928734,7717,6,Solanaceae,18ccd5354c0a0a7c8ee8f26f56d0f45197b49e9894a14624b2d516081ed117c9,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\18ccd5354c0a0a7c8ee8f26f56d0f45197b49e9894a14624b2d516081ed117c9.json
Datura tatula,171,datura tatula,1,ok,200,,Datura tatula L.,Datura stramonium var. tatula (L.) Torr.,L.,SPECIES,SYNONYM,EXACT,100,2928754,2928753,2928751,2928734,7717,6,Solanaceae,09fbf0dcebe404252ff4651faf836e27855aff0219862292fefbfb63646e1b41,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\09fbf0dcebe404252ff4651faf836e27855aff0219862292fefbfb63646e1b41.json
Daucus carota,172,daucus carota,1,ok,200,,Daucus carota L.,Daucus carota L.,L.,SPECIES,ACCEPTED,EXACT,99,3034742,3034742,3034742,3034740,6720,6,Apiaceae,a3d55ebb32fda1c4f1eca80b561b34e52fc9de71e9851011b1e0194d41d13fa3,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\a3d55ebb32fda1c4f1eca80b561b34e52fc9de71e9851011b1e0194d41d13fa3.json
Derris elliptica,173,derris elliptica,1,ok,200,,Derris elliptica (Wall.) Benth.,Derris elliptica (Wall.) Benth.,(Wall.) Benth.,SPECIES,ACCEPTED,EXACT,99,5350305,5350305,5350305,2947465,5386,6,Fabaceae,d61a2b940072c8d6dfba9c852c49841a6d008eeac7d5f1f4f7b8f690b150931a,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\d61a2b940072c8d6dfba9c852c49841a6d008eeac7d5f1f4f7b8f690b150931a.json
Derris robusta,174,derris robusta,1,ok,200,,Derris robusta (Roxb. ex DC.) Benth.,Brachypterum robustum (Roxb. ex DC.) Dalzell & A.Gibson,(Roxb. ex DC.) Benth.,SPECIES,SYNONYM,EXACT,100,5350230,2947483,2947483,2952879,5386,6,Fabaceae,37a5ad300c20923d44d70487acd492003c0908a7432ba91e8d594b1d1c2139ba,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\37a5ad300c20923d44d70487acd492003c0908a7432ba91e8d594b1d1c2139ba.json
Derris scandens,175,derris scandens,1,ok,200,,Fabaceae,Fabaceae,,FAMILY,ACCEPTED,HIGHERRANK,99,5386,5386,,,5386,6,Fabaceae,e03c99294e3ebeec4089fcfbd8e931a962b61132420b4b3800e20091fc9135fc,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\e03c99294e3ebeec4089fcfbd8e931a962b61132420b4b3800e20091fc9135fc.json
Derris trifoliata,176,derris trifoliata,1,ok,200,,Derris trifoliata Lour.,Derris trifoliata Lour.,Lour.,SPECIES,ACCEPTED,EXACT,100,5350336,5350336,5350336,2947465,5386,6,Fabaceae,1043e601d833f75fadee1df4f9f0f7608a6731a86823560bf56b96757d4ea218,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\1043e601d833f75fadee1df4f9f0f7608a6731a86823560bf56b96757d4ea218.json
Desmodium gangeticum,177,desmodium gangeticum,1,ok,200,,"Desmodium gangeticum Puri, 1951","Desmodium gangeticum Puri, 1951","Puri, 1951",SPECIES,ACCEPTED,EXACT,99,11440699,11440699,11440699,2967050,5386,6,Fabaceae,c9a677be58ede33f078e1ed712913bef0090ddfdafe21a2cfea8d31a584f752d,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\c9a677be58ede33f078e1ed712913bef0090ddfdafe21a2cfea8d31a584f752d.json
Desmodium pulchellum,178,desmodium pulchellum,1,ok,200,,Fabaceae,Fabaceae,,FAMILY,ACCEPTED,HIGHERRANK,99,5386,5386,,,5386,6,Fabaceae,d6f2a2607cda23b2a29abfd7975e028fc391babfbf138e01b517f1f52a06e994,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\d6f2a2607cda23b2a29abfd7975e028fc391babfbf138e01b517f1f52a06e994.json
Desmodium styracifolium,179,desmodium styracifolium,1,ok,200,,Desmodium styracifolium (Osbeck) Merr.,Grona styracifolia (Osbeck) H.Ohashi & K.Ohashi,(Osbeck) Merr.,SPECIES,SYNONYM,EXACT,99,2967806,10722283,10722283,9615544,5386,6,Fabaceae,40a318a83fa350566364a60c902b34f3ca25e3a7cb401577d0d931fc1607db82,C:\code\web\herbaflow\etl\plants\03_match_gbif\out\cache\40a318a83fa350566364a60c902b34f3ca25e3a7cb401577d0d931fc1607db82.json
