alias_id,plant_id,alias_name,alias_key,alias_type,retrieved_at
c7f8062c-7f30-5917-b327-121ab87d9812,51ce85c0-1fb6-5326-be73-5cec5c1deaf7,Alocasia macrorrhiza (L.) Schott,alocasia_macrorrhiza_l_schott,synonym_variant,2026-06-02T16:45:51+00:00
191f03b7-447f-5250-9932-f7295d8acf31,5225fa66-a924-501a-a8c1-769f715257c5,Smilax china L.,smilax_china_l,normalized_variant,2026-06-02T16:45:52+00:00
6b885a26-57c4-5418-b15c-f92eb5c01473,5313be9b-a3c2-54f6-849f-079a6e2e8399,Albizia chinensis (Osbeck) Merr.,albizia_chinensis_osbeck_merr,normalized_variant,2026-06-02T16:45:51+00:00
4c632867-39b3-5f99-b9de-63b3f0eb0e0a,5343796e-9023-5f92-8580-dc6b478d26db,Jasminum sambac (L.) Aiton,jasminum_sambac_l_aiton,normalized_variant,2026-06-02T16:45:51+00:00
3c40cb1c-8388-58f9-a824-69c8ad054951,54746c5d-fb8c-5195-b443-14da8110e9b1,Piper nigrum L.,piper_nigrum_l,normalized_variant,2026-06-02T16:45:52+00:00
45199617-ee7a-5014-b09f-c2790bffad75,54cc67d1-1c55-5c27-b4a9-4186a3674aa9,Clinacanthus nutans (Burm.fil.) Lindau,clinacanthus_nutans_burm_fil_lindau,normalized_variant,2026-06-02T16:45:51+00:00
7ca2be4c-8637-5082-acb1-a5748b74cde9,55e70f6c-6df3-532b-adc0-d87815e57185,Salvia splendens Sellow ex Nees,salvia_splendens_sellow_ex_nees,normalized_variant,2026-06-02T16:45:52+00:00
2f2f75ca-01b0-5ae5-a382-586df95447ca,55fc8aa4-40f3-5d50-9054-6e06a06472c2,Andrographis paniculata (Burm.fil.) Nees,andrographis_paniculata_burm_fil_nees,normalized_variant,2026-06-02T16:45:51+00:00
db958114-e9dd-5529-8954-229f10f927bd,57107070-218d-5477-9a27-7721ad168b32,Melaleuca leucadendra (L.) L.,melaleuca_leucadendra_l_l,normalized_variant,2026-06-02T16:45:51+00:00
afd89a7f-8418-53ed-bfa3-ef729dc8cfe1,579381b9-b5da-5774-b06f-e52561ae8eaf,Aglaia odorata Lour.,aglaia_odorata_lour,normalized_variant,2026-06-02T16:45:51+00:00
91a2e665-afda-5c79-8dec-67453cdc4846,57d2d54f-84f3-59be-9ca9-69a67d0358ce,Jatropha multifida L.,jatropha_multifida_l,normalized_variant,2026-06-02T16:45:51+00:00
0194cab7-8a42-5930-af37-def6b97ed5a6,5887dc73-2753-58a3-90d1-cfd0921ecfb6,Aleurites moluccanus (L.) Willd.,aleurites_moluccanus_l_willd,normalized_variant,2026-06-02T16:45:51+00:00
fb735f48-d93a-56f2-9e23-4b1d33c4fe5b,58ab169b-6803-57eb-8600-8faca5d6c4f9,Embelia ribes Burm.fil.,embelia_ribes_burm_fil,normalized_variant,2026-06-02T16:45:51+00:00
1f23c56a-93d3-5179-9a37-4cecaa5d9421,59015732-a77d-5cb8-9e12-fedf9538b23d,Curcuma longa L.,curcuma_longa_l,normalized_variant,2026-06-02T16:45:51+00:00
f9507685-e66a-505b-a558-a3f6b960ccb1,59015732-a77d-5cb8-9e12-fedf9538b23d,Curcuma domestica Valeton,curcuma_domestica_valeton,synonym_variant,2026-06-02T16:45:51+00:00
319c9843-1c2b-5e9d-b31d-518be15697b5,59015732-a77d-5cb8-9e12-fedf9538b23d,Curcuma soloensis Valeton,curcuma_soloensis_valeton,synonym_variant,2026-06-02T16:45:51+00:00
