plant_id,raw_plant_id,canonical_key,canonical_scientific_name,authorship,family_name,taxonomic_status,rank,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_genus_key,gbif_family_key,gbif_kingdom_key,source_name,source_url,retrieved_at
c87a5f74-dd81-5606-a617-8873959671c7,220,gbif:3064865,Euphorbia neriifolia L.,L.,Euphorbiaceae,ACCEPTED,SPECIES,3064865,3064865,3064865,11397237,4691,6,KNApSAcK World,https://www.gbif.org/species/3064865,2026-06-02T14:44:01+00:00
e96e6944-2ec3-5239-bb61-4888dfedf10a,222,gbif:3066465,Euphorbia pulcherrima Willd. ex Klotzsch,Willd. ex Klotzsch,Euphorbiaceae,ACCEPTED,SPECIES,3066465,3066465,3066465,11397237,4691,6,KNApSAcK World,https://www.gbif.org/species/3066465,2026-06-02T14:44:01+00:00
3e52c52d-17a9-51ab-92bd-9f3ea0d5defe,219,gbif:3067157,Euphorbia milii Des Moul.,Des Moul.,Euphorbiaceae,ACCEPTED,SPECIES,3067157,3067157,3067157,11397237,4691,6,KNApSAcK World,https://www.gbif.org/species/3067157,2026-06-02T14:44:01+00:00
64b5a549-24de-577d-9328-9b6740919dae,221,gbif:3067891,Euphorbia prostrata Aiton,Aiton,Euphorbiaceae,ACCEPTED,SPECIES,3067891,3067891,3067891,11397237,4691,6,KNApSAcK World,https://www.gbif.org/species/3067891,2026-06-02T14:44:01+00:00
e95872e0-c0b5-5fe2-815a-34da82188a6c,218,gbif:3068937,Euphorbia hirta L.,L.,Euphorbiaceae,ACCEPTED,SPECIES,3068937,3068937,3068937,11397237,4691,6,KNApSAcK World,https://www.gbif.org/species/3068937,2026-06-02T14:44:01+00:00
6c9ccae8-4a53-529c-a4b2-a4158bd84c35,377,gbif:3069168,Euphorbia tithymaloides L.,(L.) Poit.,Euphorbiaceae,SYNONYM,SPECIES,3069185,3069168,3069168,11397237,4691,6,KNApSAcK World,https://www.gbif.org/species/3069168,2026-06-02T14:44:01+00:00
781384f7-6a6e-5882-9779-912b8b2ff2e8,223,gbif:3069353,Euphorbia tirucalli L.,L.,Euphorbiaceae,ACCEPTED,SPECIES,3069353,3069353,3069353,11397237,4691,6,KNApSAcK World,https://www.gbif.org/species/3069353,2026-06-02T14:44:01+00:00
2d8555e8-ced4-5bfa-b79d-fbc8d61eb517,216,gbif:3069535,Euphorbia antiquorum L.,L.,Euphorbiaceae,ACCEPTED,SPECIES,3069535,3069535,3069535,11397237,4691,6,KNApSAcK World,https://www.gbif.org/species/3069535,2026-06-02T14:44:01+00:00
330ce16f-69c4-5527-9724-517e85fb5fa3,257,gbif:3071171,Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg.,(Willd. ex A.Juss.) Müll.Arg.,Euphorbiaceae,ACCEPTED,SPECIES,3071171,3071171,3071171,3071157,4691,6,KNApSAcK World,https://www.gbif.org/species/3071171,2026-06-02T14:44:01+00:00
5fe22218-bb94-5a44-ab78-0c539e0db194,196,gbif:3071462,Elateriospermum tapos Blume,Blume,Euphorbiaceae,ACCEPTED,SPECIES,3071462,3071462,3071462,3071461,4691,6,KNApSAcK World,https://www.gbif.org/species/3071462,2026-06-02T14:44:01+00:00
31c70734-4d61-5fc1-b0ba-49f7e87cec76,225,gbif:3071702,Excoecaria agallocha L.,L.,Euphorbiaceae,ACCEPTED,SPECIES,3071702,3071702,3071702,3054277,4691,6,KNApSAcK World,https://www.gbif.org/species/3071702,2026-06-02T14:44:01+00:00
ec2ec3e2-8ba4-5570-96eb-b0106295f3b9,226,gbif:3071716,Excoecaria cochinchinensis Lour.,Lour.,Euphorbiaceae,ACCEPTED,SPECIES,3071716,3071716,3071716,3054277,4691,6,KNApSAcK World,https://www.gbif.org/species/3071716,2026-06-02T14:44:01+00:00
26c2c50b-d350-5022-b5ca-80fa9a0a5093,287,gbif:3072900,Jatropha gossypiifolia L.,L.,Euphorbiaceae,ACCEPTED,SPECIES,3072900,3072900,3072900,3072692,4691,6,KNApSAcK World,https://www.gbif.org/species/3072900,2026-06-02T14:44:01+00:00
2de7a6a7-1e52-50a0-9374-06507220488f,285,gbif:3072953,Jatropha curcas L.,L.,Euphorbiaceae,ACCEPTED,SPECIES,3072953,3072953,3072953,3072692,4691,6,KNApSAcK World,https://www.gbif.org/species/3072953,2026-06-02T14:44:01+00:00
57d2d54f-84f3-59be-9ca9-69a67d0358ce,288,gbif:3072985,Jatropha multifida L.,L.,Euphorbiaceae,ACCEPTED,SPECIES,3072985,3072985,3072985,3072692,4691,6,KNApSAcK World,https://www.gbif.org/species/3072985,2026-06-02T14:44:01+00:00
75a36dd4-e72a-5c23-83e3-9f6e9a874e12,289,gbif:3073016,Jatropha podagrica Hook.,Hook.,Euphorbiaceae,ACCEPTED,SPECIES,3073016,3073016,3073016,3072692,4691,6,KNApSAcK World,https://www.gbif.org/species/3073016,2026-06-02T14:44:01+00:00
ff80e7c6-fd8d-53e1-846b-528f01e4363b,240,gbif:3080882,Glochidion rubrum Blume,Blume,Phyllanthaceae,ACCEPTED,SPECIES,3080882,3080882,3080882,3080069,8807,6,KNApSAcK World,https://www.gbif.org/species/3080882,2026-06-02T14:44:01+00:00
cedd05e3-437d-50b7-ae97-6e1710d40d98,406,gbif:3082282,Plumbago zeylanica L.,L.,Plumbaginaceae,ACCEPTED,SPECIES,3082282,3082282,3082282,3082281,2419,6,KNApSAcK World,https://www.gbif.org/species/3082282,2026-06-02T14:44:01+00:00
61b44b71-407e-54b8-b729-fb3d55072a55,405,gbif:3082286,Plumbago indica L.,L.,Plumbaginaceae,ACCEPTED,SPECIES,3082286,3082286,3082286,3082281,2419,6,KNApSAcK World,https://www.gbif.org/species/3082286,2026-06-02T14:44:01+00:00
5f7a5eb0-dcad-5888-b76a-028366a7ef50,65,gbif:3083504,Basella alba L.,L.,Basellaceae,SYNONYM,SPECIES,3083505,3083504,3083504,3083503,3063,6,KNApSAcK World,https://www.gbif.org/species/3083504,2026-06-02T14:44:00+00:00
e38ca312-df7f-5ddf-9572-393117818bbc,42,gbif:3083508,Anredera cordifolia (Ten.) Steenis,(Ten.) Steenis,Basellaceae,ACCEPTED,SPECIES,3083508,3083508,3083508,3083506,3063,6,KNApSAcK World,https://www.gbif.org/species/3083508,2026-06-02T14:44:00+00:00
09c167fb-5cb9-50ec-8087-eee2f9ca2c18,434,gbif:3084027,Rivina humilis L.,L.,Phytolaccaceae,ACCEPTED,SPECIES,3084027,3084027,3084027,3084026,2516,6,KNApSAcK World,https://www.gbif.org/species/3084027,2026-06-02T14:44:01+00:00
d209b533-9d00-58a5-814a-157a9c443927,494,gbif:3084670,Talinum fruticosum (L.) Juss.,(Jacq.) Willd.,Talinaceae,SYNONYM,SPECIES,3084671,3084670,3084670,3084663,4055896,6,KNApSAcK World,https://www.gbif.org/species/3084670,2026-06-02T14:44:01+00:00
a75162a9-c39e-589f-8028-487e95132947,493,gbif:3084672,Talinum paniculatum (Jacq.) Gaertn.,(Jacq.) Gaertn.,Talinaceae,ACCEPTED,SPECIES,3084672,3084672,3084672,3084663,4055896,6,KNApSAcK World,https://www.gbif.org/species/3084672,2026-06-02T14:44:01+00:00
d6b5780b-2e88-5490-a0d6-b85d9b58f11b,411,gbif:3084700,Portulaca grandiflora Hook.,Hook.,Portulacaceae,ACCEPTED,SPECIES,3084700,3084700,3084700,3084696,6717,6,KNApSAcK World,https://www.gbif.org/species/3084700,2026-06-02T14:44:01+00:00
91e50387-da73-5973-a338-1120dc8db1d2,412,gbif:3084719,Portulaca oleracea L.,L.,Portulacaceae,ACCEPTED,SPECIES,3084719,3084719,3084719,3084696,6717,6,KNApSAcK World,https://www.gbif.org/species/3084719,2026-06-02T14:44:01+00:00
ba6f8bcf-da27-5ee3-a273-ca5732c909ee,246,gbif:3084908,Gomphrena globosa L.,L.,Amaranthaceae,ACCEPTED,SPECIES,3084908,3084908,3084908,3084899,3064,6,KNApSAcK World,https://www.gbif.org/species/3084908,2026-06-02T14:44:01+00:00
06609fc6-66b3-5fe9-914f-90888f85a556,30,gbif:3084923,Alternanthera philoxeroides (Mart.) Griseb.,(Mart.) Griseb.,Amaranthaceae,ACCEPTED,SPECIES,3084923,3084923,3084923,3084921,3064,6,KNApSAcK World,https://www.gbif.org/species/3084923,2026-06-02T14:44:00+00:00
9ad40163-ef4f-50b8-8b5c-139a286a011a,31,gbif:3084939,Alternanthera sessilis (L.) R.Br. ex DC.,(L.) R.Br. ex DC.,Amaranthaceae,ACCEPTED,SPECIES,3084939,3084939,3084939,3084921,3064,6,KNApSAcK World,https://www.gbif.org/species/3084939,2026-06-02T14:44:00+00:00
07bd77ec-8d26-5198-80b6-747f38900216,9,gbif:3085168,Achyranthes aspera L.,L.,Amaranthaceae,ACCEPTED,SPECIES,3085168,3085168,3085168,3085166,3064,6,KNApSAcK World,https://www.gbif.org/species/3085168,2026-06-02T14:44:00+00:00
e23840c2-b967-5246-b462-80e00e73ae5e,112,gbif:3085191,Celosia argentea L.,L.,Amaranthaceae,ACCEPTED,SPECIES,3085191,3085191,3085191,3085190,3064,6,KNApSAcK World,https://www.gbif.org/species/3085191,2026-06-02T14:44:00+00:00
d9e1507f-5df9-56b9-ba5b-65a64a377b99,336,gbif:3086240,Mirabilis jalapa L.,L.,Nyctaginaceae,ACCEPTED,SPECIES,3086240,3086240,3086240,3086140,6718,6,KNApSAcK World,https://www.gbif.org/species/3086240,2026-06-02T14:44:01+00:00
d7f775bf-b93b-59cf-a097-2dbdb1445a3f,400,gbif:3086342,Piper retrofractum Vahl,Vahl,Piperaceae,ACCEPTED,SPECIES,3086342,3086342,3086342,3075433,6678,6,KNApSAcK World,https://www.gbif.org/species/3086342,2026-06-02T14:44:01+00:00
54746c5d-fb8c-5195-b443-14da8110e9b1,399,gbif:3086357,Piper nigrum L.,L.,Piperaceae,ACCEPTED,SPECIES,3086357,3086357,3086357,3075433,6678,6,KNApSAcK World,https://www.gbif.org/species/3086357,2026-06-02T14:44:01+00:00
e87d4350-ce5a-50bc-a2fa-2fe7824ed070,379,gbif:3086412,Peperomia pellucida (L.) Kunth,(L.) Kunth,Piperaceae,ACCEPTED,SPECIES,3086412,3086412,3086412,3086367,6678,6,KNApSAcK World,https://www.gbif.org/species/3086412,2026-06-02T14:44:01+00:00
fad237ac-de9a-5ea0-8719-6c78a09130c0,492,gbif:3088488,Tagetes erecta L.,L.,Asteraceae,ACCEPTED,SPECIES,3088488,3088488,3088488,3088468,3065,6,KNApSAcK World,https://www.gbif.org/species/3088488,2026-06-02T14:44:01+00:00
