alias_id,alias_key,alias_name,disease_id,disease_key,alias_type,alias_source,retrieved_at,source_reference_clean,batch_id,created_at
a6ae817c-2c5f-5f10-9fab-bea036424913,insulin_resistance,insulin resistance,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,ontology_synonym,ontology_synonyms,2026-06-02T16:39:43+00:00,WHO / IDF,D001,2026-06-02T16:39:43+00:00
7d6e5c1b-0171-530f-bd74-86004b0fe132,niddm,niddm,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,ontology_synonym,ontology_synonyms,2026-06-02T16:39:43+00:00,WHO / IDF,D001,2026-06-02T16:39:43+00:00
29bc6865-ad17-535b-a4f1-caea34ba9cfc,non_insulin_dependent_diabetes_mellitus,non-insulin-dependent diabetes mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,ontology_synonym,ontology_synonyms,2026-06-02T16:39:43+00:00,WHO / IDF,D001,2026-06-02T16:39:43+00:00
013e4ac8-8d50-58fe-9a70-8e7accaf724a,type_2_diabetes,type 2 diabetes,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,ontology_synonym,ontology_synonyms,2026-06-02T16:39:43+00:00,WHO / IDF,D001,2026-06-02T16:39:43+00:00
1aa2f72d-4360-5b90-b0e4-ff9d6e8938ee,type_ii_diabetes_mellitus,type ii diabetes mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,ontology_synonym,ontology_synonyms,2026-06-02T16:39:43+00:00,WHO / IDF,D001,2026-06-02T16:39:43+00:00
c812c1b0-ee79-54fd-9cf1-56c17d7a90ab,t2dm,t2dm,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,user_alias,aliases,2026-06-02T16:39:43+00:00,WHO / IDF,D001,2026-06-02T16:39:43+00:00
1ac2b4e9-77bc-5caa-9889-e601b6550387,htn,htn,bdbf1095-0cdc-5827-9694-2488d840a243,hypertension,ontology_synonym,ontology_synonyms,2026-06-02T16:39:43+00:00,WHO fact sheet,D001,2026-06-02T16:39:43+00:00
523def47-edea-514a-8d2e-4f318cfd8704,hyperpiesia,hyperpiesia,bdbf1095-0cdc-5827-9694-2488d840a243,hypertension,ontology_synonym,ontology_synonyms,2026-06-02T16:39:43+00:00,WHO fact sheet,D001,2026-06-02T16:39:43+00:00
53a1c6a9-2fc3-5978-bb25-3b4648019081,vascular_hypertensive_disorder,vascular hypertensive disorder,bdbf1095-0cdc-5827-9694-2488d840a243,hypertension,ontology_synonym,ontology_synonyms,2026-06-02T16:39:43+00:00,WHO fact sheet,D001,2026-06-02T16:39:43+00:00
cdfc63a3-4910-5141-8008-c0e1c2988e05,high_blood_pressure,high blood pressure,bdbf1095-0cdc-5827-9694-2488d840a243,hypertension,user_alias,aliases,2026-06-02T16:39:43+00:00,WHO fact sheet,D001,2026-06-02T16:39:43+00:00
