compound_review_id,compound_candidate_id,compound_id,candidate_key,candidate_status,enrichment_status,canonical_status,canonical_strategy,canonical_reason,representative_name,representative_cas_id,representative_formula,representative_mw,pubchem_cid,chembl_id,inchi_key,smiles,molecular_formula,molecular_weight,plant_id,canonical_plant_id,source_compound_key,source_plant_raw_id,source_name,source_batch_id,retrieved_at,issue_type,issue_reason,evidence_summary_json
cmprev_21bafe8942df33e4,cmpcand_7dd5b8156a6e6367,,cas_name_formula::153980_86_0::staunoside_c::c28h36o14,ready,unresolved,unresolved,,missing_canonical_key,,,,,,,,,,,,,90fe04547f25a5bbf9f38d5bb4446f4c899cd9d118be83ffefa8e7b73f083391,480,,2026-05-16T20:55:51.521581+00:00,2026-05-16T20:55:51.521581+00:00,unresolved,missing_canonical_key;no_hits,"{""candidate_id"": ""cmpcand_7dd5b8156a6e6367"", ""candidate_status"": ""ready"", ""confidence"": ""0.0000"", ""enrichment_status"": ""unresolved"", ""mapped_member_count"": 1, ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_6352302e98b7d2a2""], ""review_sidecar_rows"": 1, ""support_reason"": ""cas_name_formula"", ""support_score"": 0.4, ""unmapped_member_count"": 0}"
cmprev_2ee8f0e42e032500,cmpcand_b54804a36f493042,,cas_name_formula::1453_82_3::isonicotinamide::c6h6n2o,ready,unresolved,unresolved,,missing_canonical_key,,,,,,,,,,,,,383f811b117448b9dd04ffe30df1e53a1fb0cdd239715433cf9a6446c18f6d6a,385,,2026-05-16T20:55:43.419538+00:00,2026-05-16T20:55:43.419538+00:00,unresolved,missing_canonical_key;no_hits,"{""candidate_id"": ""cmpcand_b54804a36f493042"", ""candidate_status"": ""ready"", ""confidence"": ""0.0000"", ""enrichment_status"": ""unresolved"", ""mapped_member_count"": 1, ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_d97ce36e31e0e70a""], ""review_sidecar_rows"": 1, ""support_reason"": ""cas_name_formula"", ""support_score"": 0.4, ""unmapped_member_count"": 0}"
cmprev_4e2a8443cc01cea3,cmpcand_629b8c0801ea01a7,,cas_name_formula::153840_75_6::putranjivain_b::c32h30o23,ready,unresolved,unresolved,,missing_canonical_key,,,,,,,,,,,,,7fdeeabdbc06146da13ca6a2cfbd90fa7da59b4ccf89d2204928665cf031f594,388,,2026-05-16T20:55:51.470526+00:00,2026-05-16T20:55:51.470526+00:00,unresolved,missing_canonical_key;no_hits,"{""candidate_id"": ""cmpcand_629b8c0801ea01a7"", ""candidate_status"": ""ready"", ""confidence"": ""0.0000"", ""enrichment_status"": ""unresolved"", ""mapped_member_count"": 1, ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_109ebda67c234503""], ""review_sidecar_rows"": 1, ""support_reason"": ""cas_name_formula"", ""support_score"": 0.4, ""unmapped_member_count"": 0}"
cmprev_4e4d13869cf2cdb3,cmpcand_3cc7e26ce4c7a9bf,,name_formula_mw::macrantaldehyde::c22h25n06::373.2,ready,unresolved,unresolved,,missing_canonical_key,,,,,,,,,,,,,a3a926336b29b87ad91a9e71863e096c549149ef5e5e6996da6ae94a3360c091,373,,2026-05-16T21:01:15.823440+00:00,2026-05-16T21:01:15.823440+00:00,unresolved,missing_canonical_key;no_hits,"{""candidate_id"": ""cmpcand_3cc7e26ce4c7a9bf"", ""candidate_status"": ""ready"", ""confidence"": ""0.0000"", ""enrichment_status"": ""unresolved"", ""mapped_member_count"": 1, ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_17e44acb19367d70""], ""review_sidecar_rows"": 1, ""support_reason"": ""name_formula"", ""support_score"": 0.28, ""unmapped_member_count"": 0}"
cmprev_5bad12ee37c52141,cmpcand_58122c8b4bc4700a,,cas_name_formula::144_62_7::oxalic_acid::c2h2o4,ready,unresolved,unresolved,,missing_canonical_key,,,,,,,,,,,,,bb1481e5b4ec5fecfd841401c018283b43818be9c9689917a0fee26f900f7fbb,155,,2026-05-16T20:55:43.083891+00:00,2026-05-16T20:55:43.083891+00:00,unresolved,missing_canonical_key;support_bonus=0.08;review_members=1;no_hits,"{""candidate_id"": ""cmpcand_58122c8b4bc4700a"", ""candidate_status"": ""ready"", ""confidence"": ""0.0000"", ""enrichment_status"": ""unresolved"", ""mapped_member_count"": 5, ""member_count"": 6, ""member_ids_preview"": [""cmpcandm_c079d049176c1aee"", ""cmpcandm_0e7c2c5e66c06505"", ""cmpcandm_2536bbb4b1632327"", ""cmpcandm_7fcd51f8060c6a7a"", ""cmpcandm_faa26c9c519d2126"", ""cmpcandm_ba8c9fb055674723""], ""review_sidecar_rows"": 1, ""support_reason"": ""cas_name_formula;member_support_0.10"", ""support_score"": 0.5, ""unmapped_member_count"": 1}"
cmprev_69578947dc96b5d0,cmpcand_48ce0a4e52b6720e,,cas_name_formula::144923_70_6::artonin_i::c40h36o11,ready,unresolved,unresolved,,missing_canonical_key,,,,,,,,,,,,,339a41f3d1e346c9d3b77e24debbffdc3d9ed9b7eaf906e6a8c012574bfb35c6,343,,2026-05-16T20:55:43.044960+00:00,2026-05-16T20:55:43.044960+00:00,unresolved,missing_canonical_key;support_bonus=0.02;no_hits,"{""candidate_id"": ""cmpcand_48ce0a4e52b6720e"", ""candidate_status"": ""ready"", ""confidence"": ""0.0000"", ""enrichment_status"": ""unresolved"", ""mapped_member_count"": 2, ""member_count"": 2, ""member_ids_preview"": [""cmpcandm_8edbdd8d9ba7c655"", ""cmpcandm_75a18d11dd971ad2""], ""review_sidecar_rows"": 1, ""support_reason"": ""cas_name_formula;member_support_0.02"", ""support_score"": 0.42000000000000004, ""unmapped_member_count"": 0}"
cmprev_6ecdd65293968c91,cmpcand_f828726fec8695a3,,cas_name_formula::144828_18_2::morenone_1::c17h14o5,ready,unresolved,unresolved,,missing_canonical_key,,,,,,,,,,,,,53e5323287ff2d19ce6dcac73c9bfd98c621df0cdfebe3da6f6ececd6b6c61f5,340,,2026-05-16T20:55:43.004376+00:00,2026-05-16T20:55:43.004376+00:00,unresolved,missing_canonical_key;no_hits,"{""candidate_id"": ""cmpcand_f828726fec8695a3"", ""candidate_status"": ""ready"", ""confidence"": ""0.0000"", ""enrichment_status"": ""unresolved"", ""mapped_member_count"": 1, ""member_count"": 1, ""member_ids_preview"": [""cmpcandm_caa4073076a6afa6""], ""review_sidecar_rows"": 1, ""support_reason"": ""cas_name_formula"", ""support_score"": 0.4, ""unmapped_member_count"": 0}"
cmprev_e939bb39b83bb4c8,cmpcand_fbbda8cace5cc190,,cas_name_formula::14475_60_6::n_methylputrescine::c5h14n2,ready,unresolved,unresolved,,missing_canonical_key,,,,,,,,,,,,,08c5852a310d7859c4e1a4e9fbb10c21686ca881f081d8eb9ddc7fc204f65fb9,353,,2026-05-16T20:55:42.980544+00:00,2026-05-16T20:55:42.980544+00:00,unresolved,missing_canonical_key;support_bonus=0.04;no_hits,"{""candidate_id"": ""cmpcand_fbbda8cace5cc190"", ""candidate_status"": ""ready"", ""confidence"": ""0.0000"", ""enrichment_status"": ""unresolved"", ""mapped_member_count"": 3, ""member_count"": 3, ""member_ids_preview"": [""cmpcandm_0d26900b8dc03c03"", ""cmpcandm_a5eca8a6df9b74a0"", ""cmpcandm_efe86f35642270f4""], ""review_sidecar_rows"": 1, ""support_reason"": ""cas_name_formula;member_support_0.04"", ""support_score"": 0.44, ""unmapped_member_count"": 0}"
