canonical_key,ensembl_id,gene_symbol,approved_name,uniprot_accession,uniprot_source,organism_tax_id
uniprot:P19957,ENSG00000124102,PI3,peptidase inhibitor 3,P19957,uniprot_swissprot,9606
uniprot:P03973,ENSG00000124107,SLPI,secretory leukocyte peptidase inhibitor,P03973,uniprot_swissprot,9606
uniprot:Q8TCU6,ENSG00000124126,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent rac exchange factor 1",Q8TCU6,uniprot_swissprot,9606
uniprot:Q9H2X9,ENSG00000124140,SLC12A5,solute carrier family 12 member 5,Q9H2X9,uniprot_swissprot,9606
uniprot:P31431,ENSG00000124145,SDC4,syndecan 4,P31431,uniprot_swissprot,9606
uniprot:Q9Y6Q9,ENSG00000124151,NCOA3,nuclear receptor coactivator 3,Q9Y6Q9,uniprot_swissprot,9606
uniprot:Q9HCD5,ENSG00000124160,NCOA5,nuclear receptor coactivator 5,Q9HCD5,uniprot_swissprot,9606
uniprot:O95292,ENSG00000124164,VAPB,vamp associated protein b and c,O95292,uniprot_swissprot,9606
uniprot:P56381,ENSG00000124172,ATP5F1E,atp synthase f1 subunit epsilon,P56381,uniprot_swissprot,9606
uniprot:Q8TD26,ENSG00000124177,CHD6,chromodomain helicase dna binding protein 6,Q8TD26,uniprot_swissprot,9606
uniprot:P19174,ENSG00000124181,PLCG1,phospholipase c gamma 1,P19174,uniprot_swissprot,9606
uniprot:Q96NM4,ENSG00000124191,TOX2,tox high mobility group box family member 2,Q96NM4,uniprot_swissprot,9606
uniprot:Q96MZ0,ENSG00000124194,GDAP1L1,ganglioside induced differentiation associated protein 1 like 1,Q96MZ0,uniprot_swissprot,9606
uniprot:Q9H1H1,ENSG00000124196,GTSF1L,gametocyte specific factor 1 like,Q9H1H1,uniprot_swissprot,9606
uniprot:Q5JPB2,ENSG00000124203,ZNF831,zinc finger protein 831,Q5JPB2,uniprot_swissprot,9606
uniprot:P14138,ENSG00000124205,EDN3,endothelin 3,P14138,uniprot_swissprot,9606
uniprot:P55060,ENSG00000124207,CSE1L,chromosome segregation 1 like,P55060,uniprot_swissprot,9606
uniprot:Q16647,ENSG00000124212,PTGIS,prostaglandin i2 synthase,Q16647,uniprot_swissprot,9606
uniprot:O95793,ENSG00000124214,STAU1,staufen double-stranded rna binding protein 1,O95793,uniprot_swissprot,9606
uniprot:O95863,ENSG00000124216,SNAI1,snail family transcriptional repressor 1,O95863,uniprot_swissprot,9606
uniprot:A0A087WYH5,ENSG00000124228,DDX27,dead-box helicase 27,A0A087WYH5,uniprot_trembl,9606
uniprot:Q9UBG7,ENSG00000124232,RBPJL,recombination signal binding protein for immunoglobulin kappa j region like,Q9UBG7,uniprot_swissprot,9606
uniprot:P35558,ENSG00000124253,PCK1,phosphoenolpyruvate carboxykinase 1,P35558,uniprot_swissprot,9606
uniprot:P12955,ENSG00000124299,PEPD,peptidase d,P12955,uniprot_swissprot,9606
uniprot:Q9H2A9,ENSG00000124302,CHST8,carbohydrate sulfotransferase 8,Q9H2A9,uniprot_swissprot,9606
uniprot:O95630,ENSG00000124356,STAMBP,stam binding protein,O95630,uniprot_swissprot,9606
uniprot:Q9ULR5,ENSG00000124374,PAIP2B,poly(a) binding protein interacting protein 2b,Q9ULR5,uniprot_swissprot,9606
uniprot:Q9UPT9,ENSG00000124422,USP22,ubiquitin specific peptidase 22,Q9UPT9,uniprot_swissprot,9606
uniprot:Q9Y2N7,ENSG00000124440,HIF3A,hypoxia inducible factor 3 subunit alpha,Q9Y2N7,uniprot_swissprot,9606
uniprot:O95274,ENSG00000124466,LYPD3,ly6/plaur domain containing 3,O95274,uniprot_swissprot,9606
uniprot:Q00604,ENSG00000124479,NDP,norrin cystine knot growth factor ndp,Q00604,uniprot_swissprot,9606
uniprot:Q93008,ENSG00000124486,USP9X,ubiquitin specific peptidase 9 x-linked,Q93008,uniprot_swissprot,9606
uniprot:Q14833,ENSG00000124493,GRM4,glutamate metabotropic receptor 4,Q14833,uniprot_swissprot,9606
uniprot:Q96PN7,ENSG00000124496,TRERF1,transcriptional regulating factor 1,Q96PN7,uniprot_swissprot,9606
uniprot:Q9BY11,ENSG00000124507,PACSIN1,protein kinase c and casein kinase substrate in neurons 1,Q9BY11,uniprot_swissprot,9606
uniprot:Q9NXA8,ENSG00000124523,SIRT5,sirtuin 5,Q9NXA8,uniprot_swissprot,9606
uniprot:Q96S55,ENSG00000124535,WRNIP1,wrn helicase interacting protein 1,Q96S55,uniprot_swissprot,9606
uniprot:P09234,ENSG00000124562,SNRPC,small nuclear ribonucleoprotein polypeptide c,P09234,uniprot_swissprot,9606
uniprot:P35237,ENSG00000124570,SERPINB6,serpin family b member 6,P35237,uniprot_swissprot,9606
uniprot:Q5T3U5,ENSG00000124574,ABCC10,atp binding cassette subfamily c member 10,Q5T3U5,uniprot_swissprot,9606
uniprot:P16083,ENSG00000124588,NQO2,n-ribosyldihydronicotinamide:quinone dehydrogenase 2,P16083,uniprot_swissprot,9606
uniprot:Q9Y530,ENSG00000124596,OARD1,o-acyl-adp-ribose deacylase 1,Q9Y530,uniprot_swissprot,9606
uniprot:Q5JTZ9,ENSG00000124608,AARS2,"alanyl-trna synthetase 2, mitochondrial",Q5JTZ9,uniprot_swissprot,9606
uniprot:P46783,ENSG00000124614,RPS10,ribosomal protein s10,P46783,uniprot_swissprot,9606
uniprot:P06899,ENSG00000124635,H2BC11,h2b clustered histone 11,P06899,uniprot_swissprot,9606
uniprot:Q9H944,ENSG00000124641,MED20,mediator complex subunit 20,Q9H944,uniprot_swissprot,9606
uniprot:O95238,ENSG00000124664,SPDEF,sam pointed domain containing ets transcription factor,O95238,uniprot_swissprot,9606
uniprot:Q8WWU5,ENSG00000124678,TCP11,t-complex 11,Q8WWU5,uniprot_swissprot,9606
uniprot:Q14749,ENSG00000124713,GNMT,glycine n-methyltransferase,Q14749,uniprot_swissprot,9606
uniprot:Q96JB1,ENSG00000124721,DNAH8,dynein axonemal heavy chain 8,Q96JB1,uniprot_swissprot,9606
uniprot:Q9NP99,ENSG00000124731,TREM1,triggering receptor expressed on myeloid cells 1,Q9NP99,uniprot_swissprot,9606
uniprot:Q96P44,ENSG00000124749,COL21A1,collagen type xxi alpha 1 chain,Q96P44,uniprot_swissprot,9606
