alias_id,alias_key,alias_name,disease_id,disease_key,alias_type,alias_source,retrieved_at,source_reference_clean,batch_id,created_at
a6ae817c-2c5f-5f10-9fab-bea036424913,insulin_resistance,insulin resistance,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO / IDF,D001,2026-06-08T06:39:03+00:00
7d6e5c1b-0171-530f-bd74-86004b0fe132,niddm,niddm,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO / IDF,D001,2026-06-08T06:39:03+00:00
29bc6865-ad17-535b-a4f1-caea34ba9cfc,non_insulin_dependent_diabetes_mellitus,non-insulin-dependent diabetes mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO / IDF,D001,2026-06-08T06:39:03+00:00
013e4ac8-8d50-58fe-9a70-8e7accaf724a,type_2_diabetes,type 2 diabetes,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO / IDF,D001,2026-06-08T06:39:03+00:00
1aa2f72d-4360-5b90-b0e4-ff9d6e8938ee,type_ii_diabetes_mellitus,type ii diabetes mellitus,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO / IDF,D001,2026-06-08T06:39:03+00:00
c812c1b0-ee79-54fd-9cf1-56c17d7a90ab,t2dm,t2dm,079e61f1-4104-59c4-9c16-c77fe87dfeae,type_2_diabetes_mellitus,user_alias,aliases,2026-06-08T06:39:03+00:00,WHO / IDF,D001,2026-06-08T06:39:03+00:00
1ac2b4e9-77bc-5caa-9889-e601b6550387,htn,htn,bdbf1095-0cdc-5827-9694-2488d840a243,hypertension,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
523def47-edea-514a-8d2e-4f318cfd8704,hyperpiesia,hyperpiesia,bdbf1095-0cdc-5827-9694-2488d840a243,hypertension,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
53a1c6a9-2fc3-5978-bb25-3b4648019081,vascular_hypertensive_disorder,vascular hypertensive disorder,bdbf1095-0cdc-5827-9694-2488d840a243,hypertension,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
cdfc63a3-4910-5141-8008-c0e1c2988e05,high_blood_pressure,high blood pressure,bdbf1095-0cdc-5827-9694-2488d840a243,hypertension,user_alias,aliases,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
5e6bfc56-e266-5805-be04-528ae1b79956,arthritis_or_polyarthritis,arthritis or polyarthritis,d5128efd-aa44-55be-90c9-ba2b2e7895dd,rheumatoid_arthritis,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
363afa7f-1a51-5644-a484-a279241a3268,atrophic_arthritis,atrophic arthritis,d5128efd-aa44-55be-90c9-ba2b2e7895dd,rheumatoid_arthritis,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
1c61f9a9-adfa-543e-acf6-1ccf319b8468,rheumatic,rheumatic,d5128efd-aa44-55be-90c9-ba2b2e7895dd,rheumatoid_arthritis,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
9da0eaa7-9feb-5b0a-a6cc-e9f6f60f6626,ra,ra,d5128efd-aa44-55be-90c9-ba2b2e7895dd,rheumatoid_arthritis,user_alias,aliases,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
8fd11737-71a7-57ce-b8f5-f9eb1f2e969a,bronchial_hyperreactivity,bronchial hyperreactivity,12b38af1-6f63-54a2-9d85-01b1c9811269,asthma,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO / GINA,D001,2026-06-08T06:39:03+00:00
a6611843-e9ae-519e-a47e-4f4b4f8c488f,chronic_obstructive_asthma,chronic obstructive asthma,12b38af1-6f63-54a2-9d85-01b1c9811269,asthma,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO / GINA,D001,2026-06-08T06:39:03+00:00
ea6b5450-6394-5bc1-b0ea-f2138ecb9d3d,chronic_obstructive_asthma_with_acute_exacerbation,chronic obstructive asthma with acute exacerbation,12b38af1-6f63-54a2-9d85-01b1c9811269,asthma,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO / GINA,D001,2026-06-08T06:39:03+00:00
3524fad4-cb52-5c4a-a5fd-84d05874a622,chronic_obstructive_asthma_with_status_asthmaticus,chronic obstructive asthma with status asthmaticus,12b38af1-6f63-54a2-9d85-01b1c9811269,asthma,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO / GINA,D001,2026-06-08T06:39:03+00:00
c796d54c-b3cf-56d2-be20-b2f573b9386c,bronchial_asthma,bronchial asthma,12b38af1-6f63-54a2-9d85-01b1c9811269,asthma,user_alias,aliases,2026-06-08T06:39:03+00:00,WHO / GINA,D001,2026-06-08T06:39:03+00:00
bfdef9a6-9354-5c5f-bbbe-67cfa9bca393,chronic_obstructive_airway_disease,chronic obstructive airway disease,4970fd41-591e-59b2-a423-7da28775c338,copd,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
612d7ec9-5fbd-5eec-84dc-623a9883cf7b,chronic_obstructive_lung_disease,chronic obstructive lung disease,4970fd41-591e-59b2-a423-7da28775c338,copd,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
683366f9-7ab7-573f-97f5-7052aad3e217,cold,cold,4970fd41-591e-59b2-a423-7da28775c338,copd,ontology_synonym,ontology_synonyms,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
3896e2c8-8bf0-5f25-b6d8-ab0b9a789b4d,chronic_obstructive_pulmonary_disease,chronic obstructive pulmonary disease,4970fd41-591e-59b2-a423-7da28775c338,copd,ontology_label,ontology_label,2026-06-08T06:39:03+00:00,WHO fact sheet,D001,2026-06-08T06:39:03+00:00
