compound_candidate_member_id,compound_candidate_id,source_row_hash,source_compound_key,plant_id,canonical_plant_id,c_id,cas_id,metabolite,normalized_metabolite_name,normalized_metabolite_key,normalized_cas_id,normalized_cas_key,normalized_formula,normalized_formula_key,normalization_status,review_reason,chosen_pubchem_cid,chosen_chembl_id,chosen_inchi_key,chosen_smiles,member_enrichment_status,member_confidence
cmpcandm_62454236a0b31eb9,cmpcand_8ed6995db2011230,cfa92c5253a1c157fd3ebeb8e4f03769684730457d4884eb194237cd40a47424,39d211bf69a8108c1b24ff18de54f48e1d6dfb8d7bee52940b26e15ecf3cbbdf,256,5eb02004-fb3d-5f01-bf78-7973d0270dc3,C00063647,11014-14-5,Indicinine,Indicinine,indicinine,11014-14-5,11014145,,,ready,,,CHEMBL1795550,KEAYVGHLOUCYNN-WAYWQWQTSA-N,CCCC/C=C\CCCCCCCCCCCCCc1cc(O)cc(O)c1,ambiguous,0.3000
cmpcandm_5b0ee8fc1d084f66,cmpcand_cbbc0bd664b857b0,fd5e37ca718a2ca71f5559403e1d722b21db65f03542ae919b27ea5305871ea0,1a566bd536a910fdd4fea302c051cfb7e23dfb8540ceca738d14e4ca1225b2c2,11,0ab2659c-3ebf-550f-851f-291b95753a80,C00063765,130525-73-4,Uronic acid,Uronic acid,uronic_acid,130525-73-4,130525734,,,ready,,,CHEMBL3659241,NQQBBJXZLPRCDS-UHFFFAOYSA-N,Cc1ccc(N(C)C)c(C(=O)N2C3CCC2C(COc2ccccn2)C3)n1,ambiguous,0.3000
cmpcandm_6c2b20e6a6d42904,cmpcand_7c0c8b884f7c6ed1,295c4942395d5da8950e99c6ba12b2dbfdb2502122dcbe467f3e9291adc10b4b,33f18f56a13841c3756cca9b67f72d12882e926fd7723b356f964034aaccebec,61,6ce361f3-5493-50d8-976f-54699df3da9c,C00063789,131641-50-4,Meliacin,Meliacin,meliacin,131641-50-4,131641504,,,ready,,,CHEMBL3644307,SBZAFQICIAOQAM-ZRBRQIMBSA-N,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(C(N)=O)cc2)NC1=O,ambiguous,0.3000
cmpcandm_d29370d326c5805c,cmpcand_1691251c996fac5f,93fcf637f7b2c273591785aa26f12401cbe82a694f8a2786dc464d20b7efbf53,b6b299e5daa2f510588998fcbebfa49923c54f3e839a8e06056f455eb9c8bdf7,354,e104fc82-a836-50c5-9dbb-5546e38ee23e,C00063837,1392-40-1,Melanthin,Melanthin,melanthin,1392-40-1,1392401,,,ready,,,CHEMBL3656159,TWSDZWSGUIOPLA-UHFFFAOYSA-N,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21Cc2ccccc2C1,ambiguous,0.3000
cmpcandm_423d8ba5ef245b0f,cmpcand_4041bc4c139ee49d,9a85bacde70e5b7b8ebd2e6c5d2245705c32001c00c6b1e1b038781b88572ba3,35774ca762468ac869dd222e4f9cb765e22064d04c2b1182e4075db3c85a6587,61,6ce361f3-5493-50d8-976f-54699df3da9c,C00063847,1407-80-3,Nimbidin,Nimbidin,nimbidin,1407-80-3,1407803,,,ready,,,CHEMBL3644329,KGUGWSTVVPFRQU-FETROPEJSA-N,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](N)CN2C1=O,ambiguous,0.3000
cmpcandm_1c46dbd201b91ca7,cmpcand_b98b3ebb1548cd58,ff8d9728e71c7ed06fac66d54f1f6a7e8f9f49b50d1441ebf009b3971cef9b82,793554eb0316ea104265378cd5dc451eae5bce8112df9b8db47e7708db9110d2,354,e104fc82-a836-50c5-9dbb-5546e38ee23e,C00064269,308061-34-9,Aliphatic alcohol,Aliphatic alcohol,aliphatic_alcohol,308061-34-9,308061349,,,ready,,259994,,DNIAPMSPPWPWGF-GSVOUGTGSA-N,,matched,0.9100
cmpcandm_1a27c3cf254d449f,cmpcand_398f55512871162f,17f4a526f28826822f61887f1716f53667893397ee0ef15ad014e2228728398c,e1f512dc5868b0537f81feba6b8a363a677f3ec43cfd83fc3f8fd70c93fa16c0,9,07bd77ec-8d26-5198-80b6-747f38900216,C00064309,37279-84-8,Betalain,Betalain,betalain,37279-84-8,37279848,,,ready,,56841626,,DHHFDKNIEVKVKS-MLZDZRTESA-N,,matched,0.9900
cmpcandm_74bf34bc1a7e2755,cmpcand_3be7880e918a127b,fbdf8383c4279bbba85d8815d954e7d61eb92beee28cccea3c571c304274be3d,70d496222d8de6fca0bf043b814479ea7172e3f3933458ca269d2dd1657793d1,511,1c0845b4-f8f7-5635-8668-3cb4cb68d12d,C00064652,99753-13-6,Trigofoenoside E,Trigofoenoside E,trigofoenoside_e,99753-13-6,99753136,,,ready,,,CHEMBL107595,BHZSSYKATBTKQN-TVQRCGJNSA-N,O=C(O)c1c(=O)c2cc(F)c(N3C[C@@H]4CCCN[C@@H]4C3)c3c2n2c(csc12)CS3,ambiguous,0.3000
cmpcandm_25561a14b263d2b4,cmpcand_30c046df3d95dd88,b48848de93b368ef88306acc1512efc8f300b4c07398f7dc0ca2e233bbb86ba2,a4717a214a39fa0d16a7d23aadeed47e4172a0ba17ca77a67bc225dff2cd8a9f,456,65a5ff2b-a821-5ce0-bb10-b6b87d46b0bc,C00002626,100016-94-2,Sesamolinol,Sesamolinol,sesamolinol,100016-94-2,100016942,C20H20O7,c20h20o7,ready,,443019,,OJVGWDJIYBTWDS-AFHBHXEDSA-N,,conflict,0.9900
cmpcandm_528a20950800826f,cmpcand_207565d38967bdb3,1cbe5cc0d2058462a7b26a19605aeef4d1790aeb3a8cda2ca2ebaa9b64342aa6,290aa775cc130f59e52d26527303f3ef4965689be4711b8818f88ae867cc0ffd,125,4e8f99ab-f088-5520-b1bb-41309509d188,C00056297,1000415-55-3,"8-Hydroxy-3',4',5,6,7-pentamethoxyflavone","8-Hydroxy-3',4',5,6,7-pentamethoxyflavone",8hydroxy34567pentamethoxyflavone,1000415-55-3,1000415553,C20H20O8,c20h20o8,ready,,163183962,,ZXIGNVHISSXSRV-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_b0105cba16675eb4,cmpcand_b66d0a94401c53f9,97b663ebffc25d6025147e42cc9ca4b2b3d2754b1bb63f52310faffe2c97532c,b45408480bb20957933e32b1cd8a546be4dcecef2cedb46ad070bc86a4db706a,125,4e8f99ab-f088-5520-b1bb-41309509d188,C00056298,1000415-56-4,"8-Hydroxy-3,3',4',5,6,7-hexamethoxyflavone","8-Hydroxy-3,3',4',5,6,7-hexamethoxyflavone",8hydroxy334567hexamethoxyflavone,1000415-56-4,1000415564,C21H22O9,c21h22o9,ready,,134715240,,UGLYUURCCQYFOV-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_dda869ea37d9c534,cmpcand_ba13fbe9eef00a26,6c749e98332f180601e704e880de882d1a9c5debde2845e19b8b36bb889ac0a8,af4948c73d1c8ba2c9e23792b4b297f253826cb640409d7a8b3e584647e3a9ca,233,32db5868-6422-5fc4-aadb-90479c36369d,C00052720,100-06-1,4'-Methoxyacetophenone,4'-Methoxyacetophenone,4methoxyacetophenone,100-06-1,100061,C9H10O2,c9h10o2,ready,,7476,,NTPLXRHDUXRPNE-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_d608a20eb9dc2cc9,cmpcand_ba13fbe9eef00a26,e3defae7ad93c534acb093c3763b8401edbc3c485c030935fd37bbbde258a95f,b70dc77618c477630b172efe1e1269e760343ab7d232385d02cc0a762d33fbcb,395,9b600c0d-c81c-5ef5-8513-a56c9b80a832,C00052720,100-06-1,4'-Methoxyacetophenone,4'-Methoxyacetophenone,4methoxyacetophenone,100-06-1,100061,C9H10O2,c9h10o2,ready,,7476,,NTPLXRHDUXRPNE-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_2e0ee7199f8d6790,cmpcand_61d7ff37f7dc5849,209ede8334783526ea523155c9bf43c444e9ebdcd7f5eba772ef8b1e31dbec3f,047f4d96d4763fa2c5dc6c1123c7c317f839a1cb172bf143c6bc149b40644af3,449,086bc03b-81e5-5777-9c8d-c881b3b83e58,C00008259,100079-33-2,"5,7-Dihydroxy-8,2'-dimethoxyflavanone","5,7-Dihydroxy-8,2'-dimethoxyflavanone",57dihydroxy82dimethoxyflavanone,100079-33-2,100079332,C17H16O6,c17h16o6,ready,,21636235,,MHHPUBIEHKYLJL-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_8a41c02b461145fb,cmpcand_e3b1e0b2750164a6,2d3c284a16eb7fa82f664540df3cafdc7198263b33df8c7373b93f09db2479f3,291857a11d5c4bb3e4f14365708c99b3281f39f0cea2294eaba30eef2d07291f,449,086bc03b-81e5-5777-9c8d-c881b3b83e58,C00008260,100079-34-3,"7-Hydroxy-5,8,2'-trimethoxyflavanone","7-Hydroxy-5,8,2'-trimethoxyflavanone",7hydroxy582trimethoxyflavanone,100079-34-3,100079343,C18H18O6,c18h18o6,ready,,21636238,,FEIYIVGWSITXPN-AWEZNQCLSA-N,,conflict,0.9900
cmpcandm_405356b49faac21d,cmpcand_aed8de67e1a9880c,a4a2417dc2406cea6837426ec34cb09d989bf42c6f268358c32052e8236af1ad,c35e30781efc5e7deb9a0092ccb8876362774679a8749ce495435416e7417b6c,449,086bc03b-81e5-5777-9c8d-c881b3b83e58,C00006967,100079-39-8,"2',4'-Dihydroxy-2,3',6'-trimethoxychalcone","2',4'-Dihydroxy-2,3',6'-trimethoxychalcone",24dihydroxy236trimethoxychalcone,100079-39-8,100079398,C18H18O6,c18h18o6,ready,,21636239,,CRKKMWPCJTZZRE-CMDGGOBGSA-N,,conflict,0.9900
cmpcandm_4e3f1f027a0c129c,cmpcand_c0805dbc068501ad,012db2eb01b494c7b327d127ed3124bf70d61bfb32fb1946ec6631f9a1f5034e,f83bd49f08c1db3fa71e1ed67b9c93390e9f4928b2c4dbfe9b2287f4ad018185,114,ccb63bb3-cf7e-5c58-b0ed-13b75135b29e,C00055277,1000808-24-1,Centellin,Centellin,centellin,1000808-24-1,1000808241,C15H22O3,c15h22o3,ready,,163184102,,XQQSULFEUQBCLQ-MDZDMXLPSA-N,,conflict,0.9900
cmpcandm_b3dd8c7f415d3c56,cmpcand_734a3b12df4ef6d9,3a3e2a9f41f9e38366ed2efbe030704e821b9d9b96c9e945f0e2cbdb8dc6f11b,ffaea7bff43dc6ee0430ff7721e4e107ff63e5377288b2dbd9f4c47c23979419,114,ccb63bb3-cf7e-5c58-b0ed-13b75135b29e,C00053955,1000808-25-2,Asiaticin,Asiaticin,asiaticin,1000808-25-2,1000808252,C19H20O4,c19h20o4,ready,,,CHEMBL10642,IWDJIZYURLLLMQ-SNAWJCMRSA-N,CCOc1cc2c(cc1C/C=C/c1ccc(OC)cc1)OCO2,conflict,0.9600
cmpcandm_1afb19a93818eaa5,cmpcand_56dd4d7942522ea7,05f9de946112c4b5231a66cad58496f4d1bb5dea83593e8556b52eaf30df7bcd,8e09191e706f89b425caa65b2246baf4e39d1302d0a467150760a13dbb15e3e6,114,ccb63bb3-cf7e-5c58-b0ed-13b75135b29e,C00054351,1000808-26-3,Centellicin,Centellicin,centellicin,1000808-26-3,1000808263,C15H24O5,c15h24o5,ready,,163183805,,STWAKJDZZZKIQR-UEIGIMKUSA-N,,conflict,0.9700
cmpcandm_dd2ab7e8224c87dc,cmpcand_05897df7a2d30871,3aeffb67bd897b18aff41e6fa8f261fe67745a1fdb6eb9c00c099495e77cc910,cca0b76081fc4b0e9e06b70d968041c71289189b928bea0f0d08a5a5adf23f7d,28,fbee525b-bdd7-509d-a45c-6c106896c456,C00056300,1000878-38-5,"6-Hydroxy-1,7-diphenyl-4-hepten-3-one","6-Hydroxy-1,7-diphenyl-4-hepten-3-one",6hydroxy17diphenyl4hepten3one,1000878-38-5,1000878385,C19H20O2,c19h20o2,ready,,,CHEMBL12962,KRUGFYCCHDOKQB-BQYQJAHWSA-N,CC(C)(C)c1cccc(/C=C/c2ccc(C(=O)O)cc2)c1,conflict,0.9600
cmpcandm_2dd5a2fb2ebb8997,cmpcand_aa4cb556643f7683,4d20349a09cd0478151f4a0c667fe55749408d9de8207bcf91358f44e31c6627,bc6de769cbae5639b46f6deb870f188742d0f75c3516aebd5ccb8c46b8898f92,126,e2fd167b-5007-5c8d-8437-43d5e9d869eb,C00029536,100-09-4,4-Methoxybenzoic acid,4-Methoxybenzoic acid,4methoxybenzoic_acid,100-09-4,100094,C8H8O3,c8h8o3,ready,,,CHEMBL21932,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(C(=O)O)cc1,conflict,0.9900
cmpcandm_ab019f3e27f8e5b6,cmpcand_aa4cb556643f7683,a9fc08dc107cdb29701a55ef12e9fd7481f836f5beb1da4112b82e6c0a75b84e,36ddadad429d49690197a5791dfa6933e3c52ded382d8628cde3839d5014c068,395,9b600c0d-c81c-5ef5-8513-a56c9b80a832,C00029536,100-09-4,4-Methoxybenzoic acid,4-Methoxybenzoic acid,4methoxybenzoic_acid,100-09-4,100094,C8H8O3,c8h8o3,ready,,,CHEMBL21932,ZEYHEAKUIGZSGI-UHFFFAOYSA-N,COc1ccc(C(=O)O)cc1,conflict,0.9900
cmpcandm_1d7e9f8bdd0967f3,cmpcand_3cb5801eff382043,def9769d5ffa36abe0ff4789181f314125aa39dbe6b80f3b4c5c318d51657c7c,97b6cb1db634754a04fbf04ba1b81550b9e24f12b3c2fd9a6da101da244a36cb,210,bce825c0-1611-5e87-b0eb-760dc1815b3e,C00056301,1000994-06-8,Eucalyptal A,Eucalyptal A,eucalyptal_a,1000994-06-8,1000994068,C28H36O6,c28h36o6,ready,,24755349,,HJUVXYVQIXPSJI-ICRWQPCKSA-N,,conflict,0.9900
cmpcandm_39d2ceeb76734040,cmpcand_e12cb163c563150c,cb699ce0dda9573124a8bbb99d81fd8526a8f97d2939ea4879f74385a4c2d674,eaa1edfc656a45c37bb783813b0faa5d5ffb47db77a00dbef60ff1721fe1bd27,210,bce825c0-1611-5e87-b0eb-760dc1815b3e,C00056302,1000994-07-9,Eucalyptal B,Eucalyptal B,eucalyptal_b,1000994-07-9,1000994079,C28H38O7,c28h38o7,ready,,24755351,,VWNYEWUFLXJJJS-GDTDCKGHSA-N,,conflict,0.9900
cmpcandm_6f2c6a5c3861f02e,cmpcand_7a724510d8f64d88,1b83b97e0b02ace2ca237befcc8996c96bcaf65c45e3588aa4e5b63f17bd393d,13fd5daf64844fe0b74046e40e77fe4491845705212bb3c146e2b1f8d871f564,210,bce825c0-1611-5e87-b0eb-760dc1815b3e,C00056303,1000994-08-0,Eucalyptal C,Eucalyptal C,eucalyptal_c,1000994-08-0,1000994080,C28H36O6,c28h36o6,ready,,24755350,,LLCSUGKJCVVJBS-LQEBHLGXSA-N,,conflict,0.9900
cmpcandm_f2cb672779ac70e5,cmpcand_61a6e299c64de8bd,bf29f7b08e44e9e3958fe9380ab4ba8b3c731f282f4eb21763570dd98ca3ab91,e83e3c5e69e625034ad1e391727a105c32a896944cd0e8fbcbea76253a2c6201,306,8f16e81c-7ebd-555f-8d79-d84936d26814,C00056304,100108-65-4,Lepidine,Lepidine,lepidine,100108-65-4,100108654,C21H20N4O2,c21h20n4o2,ready,,131751423,,YDQJXVYGARVLRT-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_0fae1491157a2294,cmpcand_c7f16a71f0f5a58d,0d74d42da7512384595c4620782d4d74ac7bf207c5e790a00afe3762d5cb0b5e,e5eda4972291ce31db0c0e874245efb105bf55c6ced80b7c735702d53e8f52d2,23,49061609-9ae6-568a-a985-cd7300ccd76b,C00056305,1001228-59-6,5-Hexyl-2-thiopheneoctanoic acid,5-Hexyl-2-thiopheneoctanoic acid,5hexyl2thiopheneoctanoic_acid,1001228-59-6,1001228596,C18H30O2S,c18h30o2s,ready,,,CHEMBL1782219,ATGYTWZXHGGOQG-UHFFFAOYSA-N,CCCCCCCCCCCC[S+]([O-])c1ccccc1O,conflict,0.9600
cmpcandm_ae0d5481c1d529c6,cmpcand_d5442eb364284e67,4c2970a74d236613d6c783c127ea6cae69faff007fc4f6cafce32c957d30e5c9,b16f4d2a6e64ca3d52dc946e13f8af703af14b2a07fdb7a035c1c9ec68be48e4,23,49061609-9ae6-568a-a985-cd7300ccd76b,C00056306,1001228-60-9,5-Hexyltetrahydro-2-thiopheneoctanoic acid,5-Hexyltetrahydro-2-thiopheneoctanoic acid,5hexyltetrahydro2thiopheneoctanoic_acid,1001228-60-9,1001228609,C18H34O2S,c18h34o2s,ready,,,CHEMBL28539,DHJUGHFMUPDPHT-UHFFFAOYSA-N,CCCCCCCCC1SC1CCCCCCCC(=O)O,conflict,0.9600
cmpcandm_749d3096a19a0489,cmpcand_c00500b56ed59578,1048619f44ac955373d952a05374cfd54d7284229922a22597fe31dc6957f3f7,f881879ea3a8494641f86e4259453ebe455320acd38b40899616cb0789ed17d0,110,82633059-85b7-5cd5-a16a-442a54ac58fb,C00026041,10012-73-4,Stemmadenine,Stemmadenine,stemmadenine,10012-73-4,10012734,C21H26N2O3,c21h26n2o3,ready,,,CHEMBL486212,MBXJCHZRHROMQA-YVDMJPQFSA-N,C/C=C1/CN2CCc3c([nH]c4ccccc34)[C@@](CO)(C(=O)OC)[C@@H]1CC2,conflict,0.9900
cmpcandm_5bedcb1986d44a63,cmpcand_c00500b56ed59578,bdb151f38b70f5f3c5283172353fc91c1da006c42cf5a69e426332185fe82493,4d67e7160dc6162d05f1bb70cfa41b7b0b5ca778f99df39cfd86d27cf966b1e7,29,c71707ad-fcee-5f35-b1e4-4779442a7b24,C00026041,10012-73-4,Stemmadenine,Stemmadenine,stemmadenine,10012-73-4,10012734,C21H26N2O3,c21h26n2o3,ready,,,CHEMBL486212,MBXJCHZRHROMQA-YVDMJPQFSA-N,C/C=C1/CN2CCc3c([nH]c4ccccc34)[C@@](CO)(C(=O)OC)[C@@H]1CC2,conflict,0.9900
cmpcandm_a52d27e15cf3720c,cmpcand_13b47501b427d9f0,efecc40a7d7b97b30a2a7e6169f3667ed6046a72f4f7585866a963fd8e53762a,944c9cc35f07b55345c8cce1057c00c3f77e8cea1e3a91f1c95dd8f4ce9e1a9b,313,,C00056309,100156-31-8,Lucyoside J,Lucyoside J,lucyoside_j,100156-31-8,100156318,C42H66O15,c42h66o15,review,unresolved_plant_mapping,101621524,,PMVQXJMFSBPEIC-HXLGSOHTSA-N,,conflict,0.9900
cmpcandm_fc00e6b3cb69bcd1,cmpcand_a76dba6d86953f16,4e5a8b0bfced2826ca241d87209fc99c93a1ea4a1e23560ed353500186683319,fcac0f8f68d850a9038d052b02445f77874ce619e9337ab4809a49c6eb382ad8,313,,C00056310,100156-32-9,Lucyoside M,Lucyoside M,lucyoside_m,100156-32-9,100156329,C44H68O15,c44h68o15,review,unresolved_plant_mapping,131751578,,FNSXRAISABPGKU-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_11f37c16fcba805e,cmpcand_71510b4b11747a11,2540fed6dd5c96612e40354d2c0142f8fe5f00aec6dec7e6802608aa2841e9eb,51550797340b9dcf7f98208e03bd98a79a06cbd933e07225d830584350982ab4,313,,C00056311,100179-68-8,Lucyoside L,Lucyoside L,lucyoside_l,100179-68-8,100179688,C48H76O19,c48h76o19,review,unresolved_plant_mapping,131751156,,LWMKKJBQNOLSBE-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_e73dfc1749761eaf,cmpcand_373292a351c7bd23,4a351003330b6fb783b74d0b6a39673da2a00abda019b7ef8825d764e8878b6f,385964728f12e4993576be48df41147b20ddb115b278232b1271fea2f5f6ff29,54,96801dd1-e4f3-538e-84d6-092f1f2558f2,C00004030,100187-66-4,Kuwanon T,Kuwanon T,kuwanon_t,100187-66-4,100187664,C25H26O6,c25h26o6,ready,,15231527,,KATQHJZHAFCFAQ-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_042be84cb3667d6b,cmpcand_373292a351c7bd23,648f823abe68a644b47c2efdb2bb3d02f71a4ee59a5e94edb281e82f848492a3,f1d8cd6f3faf214b460253a85af103286e8223493dc0bd3a7e3de011c839075c,343,12e10725-0fd3-505a-9fe2-75a96247a29c,C00004030,100187-66-4,Kuwanon T,Kuwanon T,kuwanon_t,100187-66-4,100187664,C25H26O6,c25h26o6,ready,,15231527,,KATQHJZHAFCFAQ-UHFFFAOYSA-N,,conflict,0.9900
cmpcandm_10b0221f4ec6ca82,cmpcand_555d435c74f19652,92061ee7e7ac164e652e01bdedb3cbfd036ea307738268343d1bede73f08c97b,35a25841c27b031a7810f6b5ccceebb64190b4d98c3189a75bd2b914d72ff7fa,343,12e10725-0fd3-505a-9fe2-75a96247a29c,C00004020,100187-67-5,Kuwanone S,Kuwanone S,kuwanone_s,100187-67-5,100187675,C25H26O5,c25h26o5,ready,,6450924,,UXXAQCSTQAIKEM-FRKPEAEDSA-N,,conflict,0.9900
cmpcandm_3311a0382e55bb5d,cmpcand_4624bffe1221634a,7e019223a33f593a95a123e0d867fb62f477d38ad07875c3104a14938860cd45,b8eaf751e271ebad4de7b7aef7148c63c7b19fefa09a6a6e9ea54fecd9dca1f1,505,7a2474e0-42e9-5f23-8696-92e68750f96c,C00063583,100202-27-5,Borapetol A,Borapetol A,borapetol_a,100202-27-5,100202275,C20H24O7,c20h24o7,ready,,,CHEMBL161015,WBBVXGHSWZIJST-RLQYZCPESA-N,C=C1[C@@H](O)[C@]2(O)OC[C@]34[C@H]2[C@@]2(C)[C@H](O)C(=O)C=C(C)[C@@H]2C[C@H]3OC(=O)C[C@@H]14,conflict,0.9600
