alias_id,plant_id,alias_name,alias_key,alias_type,source_name,source_url,source_batch_id,retrieved_at
al_a62d41239e063a533037bfaf,pl_410cbf14ef9cb5a78ad7018b,Excoecaria agallocha L.,excoecaria agallocha l,normalized_variant,KNApSAcK World,,,
al_ffa519552cc1d277f2dafecb,pl_4112f74ce346d9d5b2c321c6,Sesbania grandiflora (L.) Poir.,sesbania grandiflora l poir,normalized_variant,KNApSAcK World,,,
al_c2f123205fd3e538651d170c,pl_44cc2b396f550f42e332ab8f,Bidens bipinnata L.,bidens bipinnata l,normalized_variant,KNApSAcK World,,,
al_589b4560702b434e8bd48e66,pl_44cdf043f59413deeed75bed,Phaseolus mungo Wall.,phaseolus mungo wall,normalized_variant,KNApSAcK World,,,
al_d8fff133977b1d146523e7e3,pl_4513f5bbdeea24d2c95df86f,Scutellaria indica L.,scutellaria indica l,normalized_variant,KNApSAcK World,,,
al_0bc2cdcd0dbc38e0e18e1b3d,pl_451b7a0d395a048b8d4dad28,Trichosanthes tricuspidata Lour.,trichosanthes tricuspidata lour,normalized_variant,KNApSAcK World,,,
al_bd5d16c3849fc3d476efe700,pl_4527453435483a7939cc8739,Ipomoea batatas (L.) Lam.,ipomoea batatas l lam,normalized_variant,KNApSAcK World,,,
al_c355ea39ef670311feb6a1e8,pl_456dc1bf90376280ac9c6bc2,Gynura japonica (Thunb.) Juel,gynura japonica thunb juel,normalized_variant,KNApSAcK World,,,
al_a36c6242286d5e45f5c35ac1,pl_456dc1bf90376280ac9c6bc2,Gynura segetum (Lour.) Merr.,gynura segetum lour merr,synonym_variant,KNApSAcK World,,,
al_efe05477774996dae977cbe0,pl_46b7bcff1287e45cc8ce2101,Bidens pilosa L.,bidens pilosa l,normalized_variant,KNApSAcK World,,,
al_9399a37c31ef00415190ae73,pl_46eb11c119e6e6679620f7d6,Celosia argentea L.,celosia argentea l,normalized_variant,KNApSAcK World,,,
